"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.importer.service.ScheduleItemService.verifySchedule(ScheduleItem scheduleItem)",9,3,8,1,1
"br.com.trevisantecnologia.importer.service.ClientService.getMaximumLicenses()",8,3,4,1,0
"br.com.trevisantecnologia.importer.service.TeamService.verifyTeamTypeRequirement(Team team)",8,3,2,1,1
"br.com.trevisantecnologia.importer.service.MediaService.proccessMedia(Media mediaLoaded)",7,3,6,1,1
"br.com.trevisantecnologia.importer.validator.business.rules.agent.CheckerNameAlreadyUser.isValid(Agent agent)",7,3,6,1,1
"br.com.trevisantecnologia.importer.service.AbstractService.resolveListByIdentifier(String alternativeIdentifier, List<T> list)",7,3,3,1,2
"br.com.trevisantecnologia.importer.core.ImportProcess.run()",7,3,3,1,0
"br.com.trevisantecnologia.importer.service.ScheduleItemService.findCurrentReference(ScheduleItem scheduleItem)",6,3,9,1,1
"br.com.trevisantecnologia.importer.service.ItineraryService.setOriginList(Itinerary itinerary)",6,3,8,1,1
"br.com.trevisantecnologia.importer.service.ScheduleItemService.verifyScheduleSituation(Schedule schedule)",6,3,6,1,1
"br.com.trevisantecnologia.importer.service.ServiceLocalService.beforeImport(ServiceLocal serviceLocal)",6,3,6,1,1
"br.com.trevisantecnologia.importer.util.ArrayUtils.containsCustomField(CustomField customField, List<CustomField> list)",6,3,3,1,2
"br.com.trevisantecnologia.importer.model.journey.TimeRange.TimeRange(LocalTime start, LocalTime end)",6,3,2,1,2
"br.com.trevisantecnologia.importer.v3.callback.ResultAggregate.allLogsWithBreaks()",6,3,2,1,0
"br.com.trevisantecnologia.importer.converter.ConversionHandler.getConverterFor(List<Converter<?>> converters, Class<?> type)",6,3,1,1,2
"br.com.trevisantecnologia.importer.util.ArrayUtils.containsIgnoreCase(List<String> values, String value)",6,3,1,1,2
"br.com.trevisantecnologia.importer.dao.CustomFieldDao.getCustomEntityCriteria()",5,3,9,1,0
"br.com.trevisantecnologia.importer.service.AgentService.beforeValidationMandatoryLayoutFields(Agent instance)",5,3,6,1,1
"br.com.trevisantecnologia.importer.service.GroupService.prepareToSave(Group group)",5,3,4,1,1
"br.com.trevisantecnologia.importer.service.ItemService.prepareToSave(Item item)",5,3,4,1,1
"br.com.trevisantecnologia.importer.service.ServiceLocalService.prepareToSave(ServiceLocal serviceLocal)",5,3,4,1,1
"br.com.trevisantecnologia.importer.service.SubGroupService.prepareToSave(SubGroup subGroup)",5,3,4,1,1
"br.com.trevisantecnologia.importer.service.MediaService.buildMediaDescription(String mediaDescription)",5,3,3,1,1
"br.com.trevisantecnologia.importer.core.ImportTimeoutInspector.sendEmailWhenExceededTimeoutForAnyRunningScheduleImports()",5,3,3,1,0
"br.com.trevisantecnologia.importer.validator.business.rules.servicelocalactivity.MaximumExecutionInCicleValue.maximumExecutionGreaterThenMinimum(ServiceLocalActivity serviceLocalActivity)",4,3,4,1,1
"br.com.trevisantecnologia.importer.service.ItineraryService.verifyOrigin(Itinerary itinerary)",4,3,3,1,1
"br.com.trevisantecnologia.importer.service.TeamService.verifyAgentBelongsToTeam(Team team, Agent agent)",4,3,1,1,2
"br.com.trevisantecnologia.importer.v3.entity.EntityBuilder.verify(List<String> list, String message)",4,3,1,1,2
"br.com.trevisantecnologia.importer.model.journey.TimeRange.isAfter(TimeRange other)",4,3,1,1,1
"br.com.trevisantecnologia.importer.model.journey.TimeRange.overlaps(TimeRange other)",4,3,1,1,1
"br.com.trevisantecnologia.importer.service.CustomFieldValueService.copy(List<CustomFieldValue> customFieldValues)",3,3,2,1,1
"br.com.trevisantecnologia.importer.service.ItemService.verifyLockedItem(Item item)",3,3,2,1,1
"br.com.trevisantecnologia.importer.service.ServiceLocalService.verifyIsLocked(ServiceLocal serviceLocal)",3,3,2,1,1
"br.com.trevisantecnologia.importer.service.ServiceLocalService.verifyServiceLocalsLimitReachedWhenLightPlan()",3,3,2,1,0
"br.com.trevisantecnologia.importer.dao.AgentActivityDao.deleteRelationshipAgentActivity(AgentActivity agentActivity)",17,3,14,0,1
"br.com.trevisantecnologia.importer.dao.ServiceLocalActivityDao.deleteRelationshipServiceLocalActivity(ServiceLocalActivity serviceLocalActivity)",17,3,14,0,1
