"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.jfree.chart.editor.DefaultTitleEditor",161,10,8,19,23,8,1,14,9,0.5555555555555556
"org.jfree.chart.StandardChartThemeTest",161,3,3,3,16,4,0,4,0,0.0
"org.jfree.chart.plot.dial.DialTextAnnotation",159,20,18,29,18,6,7,14,7,0.8421052631578947
"org.jfree.chart.annotations.XYDataImageAnnotation",159,16,14,29,17,8,0,15,6,0.8333333333333334
"org.jfree.chart.plot.CombinedRangeXYPlotTest",159,9,6,9,22,12,0,14,1,1.125
"org.jfree.chart.annotations.XYLineAnnotation",159,8,6,22,24,11,19,16,7,0.5714285714285714
"org.jfree.data.xy.DefaultXYZDataset",158,17,17,30,7,3,10,11,2,0.96875
"org.jfree.chart.axis.PeriodAxisLabelInfo",158,16,14,26,18,4,31,7,14,0.6333333333333333
"org.jfree.chart.util.DefaultShadowGenerator",157,13,12,28,6,1,4,6,6,0.7916666666666666
"org.jfree.chart.axis.NumberTickUnitSource",157,12,7,42,4,1,5,5,10,0.5909090909090909
"org.jfree.chart.renderer.xy.XYAreaRendererTest",157,7,7,7,18,11,0,11,0,0.0
"org.jfree.chart.plot.dial.StandardDialScaleTest",157,6,6,6,10,2,0,2,1,1.0
"org.jfree.chart.renderer.xy.YIntervalRendererTest",156,6,6,6,20,15,0,15,0,0.0
"org.jfree.data.json.impl.JSONValue",156,4,3,48,4,0,1,7,0,0.0
"org.jfree.data.xy.DefaultHighLowDataset",155,19,19,34,4,2,19,8,7,0.8333333333333334
"org.jfree.chart.labels.AbstractXYItemLabelGenerator",155,16,10,32,9,4,5,9,7,0.8
"org.jfree.data.category.CategoryToPieDataset",155,12,12,41,8,5,9,10,4,0.8636363636363636
"org.jfree.data.statistics.DefaultMultiValueCategoryDatasetTest",155,8,8,8,9,3,0,5,0,0.0
"org.jfree.data.DataUtilsTest",154,7,7,7,4,0,0,0,1,1.0
"org.jfree.chart.renderer.RendererUtils",153,3,3,32,3,2,1,4,0,0.0
"org.jfree.data.category.SlidingCategoryDataset",152,20,19,36,7,4,10,9,3,0.9473684210526315
"org.jfree.chart.annotations.XYShapeAnnotation",152,9,7,22,24,10,15,15,5,0.75
"org.jfree.chart.annotations.XYBoxAnnotation",151,9,7,24,20,8,16,13,8,0.5625
"org.jfree.chart.block.RectangleConstraint",150,19,19,33,3,3,52,3,7,0.8333333333333334
"org.jfree.data.time.ohlc.OHLCSeriesTest",150,12,12,12,12,6,0,7,1,1.0
"org.jfree.chart.plot.dial.StandardDialFrame",149,17,15,24,18,5,8,13,5,0.875
"org.jfree.data.KeyedObjects",149,16,16,38,5,2,12,8,2,0.9666666666666667
"org.jfree.data.xy.DefaultXYDataset",148,15,15,30,7,3,19,10,2,0.9642857142857143
"org.jfree.chart.text.TextBlock",147,14,13,38,13,2,11,4,3,0.9230769230769231
"org.jfree.chart.editor.DefaultChartEditor",147,8,7,11,21,7,1,13,5,0.7142857142857143
"org.jfree.chart.ui.LCBLayout",147,8,8,28,6,0,7,0,7,0.5714285714285714
"org.jfree.data.category.DefaultCategoryDataset",146,25,25,35,7,5,62,14,2,0.9791666666666666
"org.jfree.data.general.Series",145,23,18,32,9,2,8,7,7,0.8636363636363636
"org.jfree.data.statistics.HistogramDatasetTest",144,11,11,11,9,4,0,5,2,0.95
"org.jfree.chart.util.PaintAlpha",144,8,3,27,10,0,1,5,2,0.9285714285714286
"org.jfree.data.xy.CategoryTableXYDataset",143,27,27,33,6,6,7,14,2,0.9807692307692307
"org.jfree.data.time.ohlc.OHLCSeriesCollectionTest",143,9,9,9,12,5,0,6,1,1.0
"org.jfree.chart.renderer.xy.YIntervalRenderer",143,8,7,19,26,15,8,22,2,0.9285714285714286
"org.jfree.chart.plot.ValueMarkerTest",143,7,7,7,18,5,0,6,2,0.9166666666666666
"org.jfree.chart.plot.FastScatterPlotTest",143,6,5,7,14,5,0,7,0,0.0
"org.jfree.chart.plot.MeterPlotTest",142,4,4,4,12,4,0,4,0,0.0
"org.jfree.chart.block.CenterArrangement",141,13,5,31,5,1,1,3,1,1.0
"org.jfree.data.xy.TableXYDatasetTest",141,13,9,13,7,3,0,4,0,0.0
"org.jfree.chart.renderer.xy.StackedXYAreaRendererTest",141,8,8,8,21,11,0,11,0,0.0
"org.jfree.chart.axis.ValueAxisTest",141,4,4,4,21,10,0,12,1,1.0
"org.jfree.chart.axis.DateTickUnit",140,17,16,32,7,2,68,5,6,0.84375
"org.jfree.chart.axis.MarkerAxisBand",140,7,6,18,15,3,15,7,8,0.4166666666666667
"org.jfree.data.jdbc.JDBCCategoryDataset",140,7,7,32,10,2,0,7,3,0.8333333333333334
