"type","dep","i-dep","fan-in","fan-out"
"org.jfree.chart.plot.PieLabelDistributor",1,0,1,4
"org.jfree.chart.labels.HighLowItemLabelGenerator",8,4,13,11
"org.jfree.chart.renderer.category.StandardBarPainter",10,1,8,3
"org.jfree.chart.renderer.xy.StandardXYBarPainter",10,1,8,3
"org.jfree.chart.util.ArrayUtils",1,0,2,4
"org.jfree.data.jdbc.JDBCPieDataset",10,2,0,6
"org.jfree.chart.annotations.XYDrawableAnnotationTest",10,3,0,6
"org.jfree.chart.labels.StandardXYItemLabelGeneratorTest",11,3,0,3
"org.jfree.chart.ChartTransferable",8,0,1,2
"org.jfree.data.json.JSONUtils",11,6,0,9
"org.jfree.chart.labels.AbstractPieItemLabelGenerator",7,4,2,9
"org.jfree.data.xy.CategoryTableXYDatasetTest",7,3,0,3
"org.jfree.chart.util.PaintUtils",8,0,65,8
"org.jfree.chart.annotations.XYShapeAnnotationTest",10,2,0,2
"org.jfree.chart.annotations.XYTextAnnotationTest",11,2,0,2
"org.jfree.chart.block.BlockBorder",12,4,13,6
"org.jfree.chart.StackedAreaChartTest",21,12,0,15
"org.jfree.chart.renderer.xy.XYStepAreaRendererTest",13,8,0,8
"org.jfree.data.gantt.Task",9,5,108,9
"org.jfree.chart.plot.dial.DialBackground",16,7,14,12
"org.jfree.chart.renderer.xy.XYErrorRendererTest",11,3,0,3
"org.jfree.chart.renderer.xy.AbstractXYItemRendererTest",12,8,0,9
"org.jfree.chart.axis.CategoryLabelPosition",5,1,89,1
"org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest",11,4,0,5
"org.jfree.chart.renderer.xy.StackedXYAreaRenderer2Test",19,10,0,11
"org.jfree.data.statistics.DefaultBoxAndWhiskerXYDatasetTest",9,3,0,4
"org.jfree.chart.ChartRenderingInfo",12,6,15,9
"org.jfree.chart.axis.MonthDateFormat",13,1,16,4
"org.jfree.chart.editor.DefaultNumberAxisEditor",12,4,1,14
"org.jfree.chart.renderer.xy.XYDotRendererTest",14,9,0,9
"org.jfree.data.xy.XYIntervalSeriesCollectionTest",7,3,0,3
"org.jfree.chart.annotations.CategoryPointerAnnotationTest",9,2,0,2
"org.jfree.chart.annotations.XYPointerAnnotationTest",9,2,0,2
"org.jfree.chart.util.LogFormat",4,0,12,4
"org.jfree.data.time.SimpleTimePeriodTest",6,1,0,1
"org.jfree.data.general.TestIntervalXYZDataset",2,1,1,3
"org.jfree.data.io.CSV",6,2,0,5
"org.jfree.chart.renderer.xy.XYBoxAndWhiskerRendererTest",18,7,0,8
"org.jfree.chart.annotations.TextAnnotationTest",12,2,0,3
"org.jfree.chart.title.PaintScaleLegendTest",13,5,0,5
"org.jfree.chart.PaintMap",13,3,8,9
"org.jfree.data.xy.DefaultWindDatasetTest",8,4,0,5
"org.jfree.chart.AreaChartTest",22,12,0,15
"org.jfree.chart.renderer.xy.StackedXYBarRendererTest",16,9,0,9
"org.jfree.chart.renderer.category.GroupedStackedBarRendererTest",15,9,0,9
"org.jfree.chart.labels.StandardXYZToolTipGeneratorTest",11,3,0,3
"org.jfree.chart.urls.CustomPieURLGenerator",10,3,7,10
"org.jfree.chart.BarChartTest",21,12,0,15
"org.jfree.chart.renderer.xy.HighLowRendererTest",14,7,0,7
"org.jfree.chart.XYStepChartTest",20,11,0,14
"org.jfree.data.xy.YIntervalSeriesCollectionTest",7,3,0,3
"org.jfree.data.xy.XYDataItem",3,2,8,9
"org.jfree.chart.StackedBarChartTest",20,12,0,15
"org.jfree.data.xy.XIntervalSeriesCollectionTest",7,3,0,3
"org.jfree.chart.annotations.XYPolygonAnnotationTest",10,2,0,2
"org.jfree.data.statistics.BoxAndWhiskerCalculatorTest",5,0,0,3
"org.jfree.chart.title.CompositeTitle",15,8,8,12
"org.jfree.chart.StrokeMap",13,3,8,9
"org.jfree.chart.renderer.category.IntervalBarRendererTest",15,9,0,9
"org.jfree.chart.renderer.xy.ClusteredXYBarRendererTest",10,6,0,7
"org.jfree.chart.renderer.xy.XYBubbleRendererTest",12,8,0,8
"org.jfree.data.time.SimpleTimePeriod",2,0,58,3
"org.jfree.chart.annotations.XYTitleAnnotationTest",14,9,0,9
"org.jfree.data.statistics.SimpleHistogramBinTest",6,2,0,2
"org.jfree.data.time.RegularTimePeriod",6,1,19,8
"org.jfree.chart.urls.TimeSeriesURLGenerator",7,2,16,5
"org.jfree.data.general.DefaultPieDatasetTest",7,2,0,3
"org.jfree.data.xy.MatrixSeriesTest",6,2,0,2
"org.jfree.chart.plot.PlotTest",13,2,0,2
"org.jfree.chart.plot.MeterInterval",13,5,12,6
"org.jfree.chart.urls.CustomXYURLGenerator",5,2,6,8
"org.jfree.chart.annotations.XYLineAnnotationTest",10,2,0,2
"org.jfree.chart.plot.RingPlotTest",12,2,0,2
