"type","dep","i-dep","fan-in","fan-out"
"br.com.trevisantecnologia.umov.watcher.exception.MissingRequiredParameterToChangePasswordException",0,0,0,1
"br.com.trevisantecnologia.umov.watcher.exception.PropertyNotFoundException",0,0,1,1
"br.com.trevisantecnologia.umov.watcher.exception.ScheduleSendEmailException",0,0,2,1
"br.com.trevisantecnologia.umov.watcher.exception.SaveOrUpdateException",0,0,1,3
"br.com.trevisantecnologia.umov.watcher.exception.SearchEventViewException",0,0,1,2
"br.com.trevisantecnologia.umov.watcher.exception.EventConditionException",0,0,15,1
"br.com.trevisantecnologia.umov.watcher.exception.BusinessException",0,0,2,1
"br.com.trevisantecnologia.umov.watcher.exception.EntityNotMappedException",0,0,1,2
"br.com.trevisantecnologia.umov.watcher.exception.NoRecipientFoundException",0,0,1,1
"br.com.trevisantecnologia.umov.watcher.exception.FindByCriteriaException",0,0,5,2
"br.com.trevisantecnologia.umov.watcher.exception.AlternativeIdentifierDuplicationException",0,0,1,2
"br.com.trevisantecnologia.umov.watcher.exception.CustomerDoNotAllowedToChangePasswordException",0,0,0,1
"br.com.trevisantecnologia.umov.watcher.task.SendTask",2,2,2,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.ICustomEntityFeed",2,2,2,2
"br.com.trevisantecnologia.umov.watcher.model.Verbas",0,0,2,0
"br.com.trevisantecnologia.umov.watcher.mapping.EntityMapper",1,1,1,1
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.observer.Observer",1,1,2,1
"br.com.trevisantecnologia.umov.watcher.dao.EventViewDao",1,0,3,0
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.UpdateAgents",1,1,2,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.UpdateTasks",1,1,2,1
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.DomainEvents.ItWasFinisherTasks",1,1,3,1
"br.com.trevisantecnologia.umov.watcher.dao.impl.SubGrouDaoImpl",2,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.SmsDaoImpl",2,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ActionImplDaoImpl",2,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.CustomEntityDaoImpl",2,2,1,3
"br.com.trevisantecnologia.umov.watcher.dao.impl.ServiceLocalDaoImpl",2,2,2,3
"br.com.trevisantecnologia.umov.watcher.task.WatcherTask",0,0,22,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedField",0,0,5,0
"br.com.trevisantecnologia.umov.watcher.validators.WatcherValidator",0,0,1,0
"br.com.trevisantecnologia.umov.watcher.model.EntityModel",0,0,5,0
"br.com.trevisantecnologia.umov.watcher.feeder.domain.exceptions.CriteriasNotFoundException",0,0,1,1
