"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.EntryFillerService",42,3,1,8,10,8,0,13,0
"br.com.trevisantecnologia.umov.watcher.model.Entity",41,10,10,11,1,0,15,0,5
"br.com.trevisantecnologia.umov.watcher.feeder.aplication.EntityFeederRuleMappingService",41,3,1,6,11,5,0,6,1
"br.com.trevisantecnologia.umov.watcher.log.LogAppender",41,2,2,10,1,0,1,0,1
"br.com.trevisantecnologia.umov.watcher.feeder.domain.model.FeedOperation",40,8,8,12,2,0,0,1,3
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleAutoFinishService",40,6,1,6,9,3,0,5,2
"br.com.trevisantecnologia.umov.watcher.eca.connector.task.ScheduleAutoCancelService",40,6,1,6,9,3,0,5,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.port.ServiceDependencyFactory",40,6,6,6,7,6,6,6,6
"br.com.trevisantecnologia.umov.watcher.model.ApiCallback",37,7,7,7,3,0,2,2,3
"br.com.trevisantecnologia.umov.watcher.tasksfinisher.domain.model.TaskFinalized",37,7,6,10,3,1,8,3,2
"br.com.trevisantecnologia.umov.watcher.cache.ImportCacheManager",37,6,5,10,3,0,2,3,1
"br.com.trevisantecnologia.umov.watcher.service.WatcherEventService",37,6,1,7,8,2,3,5,1
"br.com.trevisantecnologia.umov.watcher.feeder.oldway.FeederStrategy",37,4,3,5,7,2,3,7,2
"br.com.trevisantecnologia.umov.watcher.feeder.domain.builder.criteria.FeedWhere",36,9,9,9,3,0,6,1,3
"br.com.trevisantecnologia.umov.watcher.service.CustomEntityEntryService",36,4,4,6,11,8,1,10,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.param.ParamIOS",35,4,3,11,2,2,1,4,1
"br.com.trevisantecnologia.umov.watcher.model.schedule.notification.smartpush.notification.NotificationFactory",35,4,2,6,7,2,1,4,2
