"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa","lcom3"
"org.hibernate.test.cascade.circle.MultiPathCircleCascadeTest",570,54,36,59,17,8,3,13,3,1.0188679245283019
"org.hibernate.tuple.entity.AbstractEntityTuplizer",570,52,35,109,34,29,2,37,17,0.8811995386389849
"org.hibernate.loader.criteria.CriteriaQueryTranslator",568,47,39,115,42,27,3,34,15,0.8565217391304347
"org.hibernate.test.readonly.ReadOnlyVersionedNodesTest",567,17,15,17,7,1,0,3,0,0.0
"org.hibernate.id.IdentifierGeneratorHelper",564,82,77,139,14,7,8,14,7,0.980599647266314
"org.hibernate.boot.model.source.internal.hbm.AttributesHelper",563,41,38,42,32,9,0,13,0,0.0
"org.hibernate.loader.plan.exec.internal.LoadQueryJoinAndFetchProcessor",562,24,9,91,42,35,1,40,6,0.8913043478260869
"org.hibernate.mapping.Collection",558,118,111,133,20,11,64,19,48,0.7991452991452992
"org.hibernate.test.legacy.CustomPersister",555,112,112,115,48,38,0,43,8,0.9966216216216216
"org.hibernate.event.internal.DefaultFlushEntityEventListener",548,28,11,93,31,28,2,37,8,0.8703703703703703
"org.hibernate.hql.internal.ast.tree.FromElement",545,95,87,142,26,18,20,28,29,0.851063829787234
"org.hibernate.dialect.HSQLDialect",541,53,48,81,47,37,24,48,5,0.9807692307692307
"org.hibernate.hql.internal.ast.tree.DotNode",538,38,20,110,22,18,6,26,15,0.8108108108108109
"org.hibernate.test.annotations.onetomany.OneToManyTest",538,16,14,25,49,18,0,20,6,0.9555555555555556
"org.hibernate.test.collection.multisession.MultipleSessionCollectionTest",533,14,14,16,25,8,0,12,6,0.8846153846153846
"org.hibernate.test.hql.ASTParserLoadingOrderByTest",523,15,11,27,15,7,0,11,11,0.6428571428571429
"org.hibernate.engine.spi.QueryParameters",521,64,63,88,23,14,81,19,27,0.7936507936507936
"org.hibernate.jpa.test.ejb3configuration.PersisterClassProviderTest",519,114,114,115,49,36,0,40,0,0.0
"org.hibernate.dialect.SQLServer2005DialectTestCase",516,44,43,44,10,3,0,6,1,1.0
"org.hibernate.hql.internal.ast.tree.FromElementType",513,51,36,132,30,24,2,32,11,0.9
"org.hibernate.tool.schema.internal.SchemaCreatorImpl",513,28,22,81,53,40,25,48,5,0.9481481481481482
"org.hibernate.dialect.PostgreSQL81Dialect",510,65,63,83,38,29,58,35,2,1.015625
"org.hibernate.test.constraint.ForeignKeyConstraintTest",507,26,23,50,46,3,0,11,39,0.3548717948717949
"org.hibernate.jpamodelgen.xml.XmlMetaEntity",506,36,13,106,36,9,3,19,13,0.8549450549450549
"org.hibernate.test.notfound.OptionalEagerNotFoundTest",505,75,69,306,26,3,0,8,27,0.960960960960961
"org.hibernate.test.converter.AttributeConverterTest",502,40,40,46,44,27,0,35,16,0.9198717948717948
"org.hibernate.test.bytecode.enhancement.lazy.proxy.DeepInheritanceProxyTest",502,27,20,59,23,8,0,12,5,0.9230769230769231
"org.hibernate.persister.collection.OneToManyPersister",499,29,17,88,28,23,4,26,5,0.9285714285714286
"org.hibernate.tool.schema.internal.AbstractSchemaMigrator",498,18,3,81,47,34,3,40,4,0.9117647058823529
"org.hibernate.collection.internal.PersistentMap",495,72,70,112,16,6,3,14,6,0.9647887323943662
"org.hibernate.test.annotations.xml.ejb3.Ejb3XmlOneToManyTest",495,23,23,23,26,0,0,1,0,0.0
"org.hibernate.test.readonly.ReadOnlyTest",492,13,13,28,13,4,0,6,0,0.0
"org.hibernate.collection.internal.PersistentList",491,64,63,121,14,6,5,12,2,0.9920634920634921
"org.hibernate.collection.internal.PersistentBag",487,61,58,119,16,6,3,16,2,0.9916666666666667
"org.hibernate.hql.internal.ast.QueryTranslatorImpl",487,42,33,84,53,36,8,44,17,0.8048780487804879
"org.hibernate.loader.custom.sql.SQLQueryReturnProcessor",487,37,23,85,43,35,3,43,14,0.878968253968254
"org.hibernate.tool.schema.internal.SchemaDropperImpl",486,36,29,80,50,39,14,48,9,0.8984126984126983
"org.hibernate.cfg.annotations.SimpleValueBinder",484,24,19,123,50,29,7,33,20,0.6260869565217392
"org.hibernate.cfg.annotations.MapBinder",484,13,4,69,50,32,2,37,0,0.0
"org.hibernate.dialect.DerbyDialect",482,35,29,50,26,19,11,27,4,0.9558823529411765
"org.hibernate.dialect.MySQLDialect",476,58,51,69,31,22,45,28,5,0.968421052631579
"org.hibernate.test.inheritance.discriminator.MultiInheritanceImplicitDowncastTest",472,82,80,96,35,4,0,15,40,0.8956790123456789
"org.hibernate.type.EntityType",471,48,37,98,20,14,55,21,9,0.9148936170212766
"org.hibernate.test.procedure.OracleStoredProcedureTest",467,12,11,17,41,10,0,14,1,1.0
"org.hibernate.test.criteria.OuterJoinCriteriaTest",466,16,13,42,20,6,0,8,3,0.9333333333333333
"org.hibernate.metamodel.model.domain.internal.AbstractManagedType",464,55,39,112,27,12,2,21,6,0.9783950617283951
"org.hibernate.test.procedure.HANAStoredProcedureTest",464,12,11,15,33,8,0,13,1,1.0
"org.hibernate.loader.hql.QueryLoader",462,37,13,84,43,32,1,39,20,0.7527777777777778
"org.hibernate.loader.entity.DynamicBatchingEntityLoaderBuilder",462,17,8,23,35,24,2,31,7,0.8660714285714286
"org.hibernate.query.criteria.internal.path.AbstractFromImpl",461,60,47,101,32,11,2,18,5,0.9728813559322034
"org.hibernate.internal.util.ReflectHelper",461,34,23,97,20,10,70,18,6,0.9545454545454546
"org.hibernate.bytecode.enhance.internal.bytebuddy.EnhancerImpl",461,28,16,51,54,23,4,33,24,0.5740740740740741
"org.hibernate.testing.transaction.TransactionUtil",455,24,16,61,28,14,66,25,1,1.0
"org.hibernate.cfg.beanvalidation.TypeSafeActivator",452,18,4,78,42,22,0,26,2,0.9705882352941176
"org.hibernate.envers.test.integration.proxy.RemovedObjectQueryTest",452,17,14,17,31,20,0,22,8,0.78125
"org.hibernate.tool.hbm2ddl.SchemaExport",448,33,30,100,41,31,49,37,27,0.755787037037037
"org.hibernate.test.annotations.xml.ejb3.Ejb3XmlManyToManyTest",448,21,21,21,26,0,0,1,0,0.0
"org.hibernate.query.Query",447,117,70,117,47,22,61,26,0,0.0
"org.hibernate.engine.internal.EntityEntryContext",446,39,34,73,15,7,2,14,18,0.8552631578947368
"org.hibernate.dialect.DB2Dialect",445,54,53,64,36,29,34,34,2,1.009433962264151
"org.hibernate.test.annotations.cid.CompositeIdTest",444,15,13,15,20,8,0,10,0,0.0
"org.hibernate.engine.internal.AbstractEntityEntry",443,51,33,85,26,18,2,24,21,0.84
"org.hibernate.cache.internal.EnabledCaching",443,49,40,85,37,27,1,34,12,0.9548611111111112
"org.hibernate.bytecode.enhance.internal.bytebuddy.CodeTemplates",442,44,0,133,18,13,0,21,0,0.0
"org.hibernate.loader.custom.CustomLoader",441,28,6,60,36,27,4,35,15,0.7777777777777778
"org.hibernate.engine.internal.Cascade",440,13,2,71,26,20,9,21,1,1.0
"org.hibernate.hql.internal.ast.tree.FromElementFactory",439,21,8,56,22,17,8,20,11,0.75
"org.hibernate.id.enhanced.TableGenerator",437,35,19,39,47,35,8,40,32,0.5441176470588235
"org.hibernate.jpa.test.packaging.PackagedEntityManagerTest",437,15,15,21,43,27,0,30,1,1.0
"org.hibernate.query.internal.QueryParameterBindingsImpl",435,28,15,84,34,23,4,30,10,0.8518518518518519
"org.hibernate.test.naturalid.mutable.MutableNaturalIdTest",432,13,13,13,18,10,0,13,0,0.0
"org.hibernate.test.unionsubclass.UnionSubclassTest",432,10,9,18,32,16,0,18,1,1.0
"org.hibernate.testing.junit4.BaseNonConfigCoreFunctionalTestCase",427,57,10,93,54,33,261,45,7,0.961734693877551
"org.hibernate.test.ops.SaveOrUpdateTest",426,15,10,19,15,8,0,12,0,0.0
"org.hibernate.test.annotations.onetomany.OrderByTest",426,11,10,12,31,14,0,18,0,0.0
"org.hibernate.engine.internal.JoinSequence",425,37,30,91,14,11,17,20,17,0.7777777777777778
"org.hibernate.jpa.test.EntityManagerTest",425,20,19,25,30,6,0,13,1,1.0
"org.hibernate.Query",418,115,69,117,38,23,74,26,0,0.0
"org.hibernate.sql.Template",417,22,13,77,18,12,9,20,10,0.9333333333333333
"org.hibernate.testing.junit4.BaseCoreFunctionalTestCase",415,51,5,86,43,24,773,34,8,0.95
"org.hibernate.test.tm.CMTTest",415,11,9,17,25,10,0,13,0,0.0
"org.hibernate.collection.internal.PersistentIdentifierBag",413,52,50,84,16,6,2,10,3,0.9803921568627451
"org.hibernate.hql.internal.classic.PathExpressionParser",413,41,28,82,16,13,6,17,26,0.7528846153846154
"org.hibernate.hql.internal.classic.WhereParser",413,16,4,73,20,12,2,23,15,0.5333333333333333
"org.hibernate.event.service.internal.EventListenerRegistryImpl",412,20,14,38,80,40,2,45,5,0.9473684210526315
"org.hibernate.envers.test.integration.onetomany.detached.DoubleJoinColumnBidirectionalList",410,9,8,9,11,4,0,5,6,0.6875
"org.hibernate.cfg.Configuration",409,66,64,94,51,39,299,42,24,0.8320512820512821
"org.hibernate.type.AnyType",409,59,54,87,30,20,10,28,8,0.9396551724137931
"org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl",404,13,7,51,33,27,3,31,4,0.875
"org.hibernate.tool.schema.spi.SchemaManagementToolCoordinator",403,33,29,49,24,9,10,12,6,0.96875
"org.hibernate.event.internal.DefaultLoadEventListener",402,13,1,72,31,28,2,32,1,1.0
"org.hibernate.collection.internal.PersistentSet",401,49,49,96,15,6,6,12,2,0.9895833333333334
"org.hibernate.test.dialect.functional.OracleFollowOnLockingTest",400,21,18,26,25,8,0,13,7,0.9428571428571428
"org.hibernate.envers.test.integration.strategy.ValidityAuditStrategyRevEndTsTest",400,13,9,19,25,13,0,18,8,0.7083333333333334
"org.hibernate.test.annotations.onetoone.OneToOneTest",399,17,14,31,25,16,0,21,3,0.9375
"org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl",398,38,30,71,38,25,5,29,12,0.8513513513513513
"org.hibernate.envers.test.integration.components.DefaultValueComponents",398,11,9,11,9,4,0,5,8,0.65
"org.jboss.as.jpa.hibernate5.management.HibernateStatistics",397,37,36,6,11,1,1,6,72,0.498070987654321
"org.hibernate.test.bytecode.enhancement.lazy.StatelessQueryScrollingTest",395,63,61,69,27,10,0,15,22,0.9281524926686218
"org.hibernate.userguide.bootstrap.BootstrapTest",395,39,39,39,54,29,0,37,11,0.868421052631579
"org.hibernate.jpa.test.cascade.multilevel.MultiLevelCascadeCollectionIdClassTest",394,64,62,138,28,1,0,5,23,0.8792270531400966
"org.hibernate.mapping.Component",394,56,53,79,24,17,44,26,15,0.8727272727272727
"org.hibernate.dialect.Cache71Dialect",394,39,36,45,38,32,2,38,2,1.0
"org.hibernate.metamodel.internal.MetadataContext",393,28,19,79,35,20,1,26,14,0.955026455026455
"org.hibernate.engine.jdbc.connections.internal.ConnectionProviderInitiator",393,20,8,74,23,11,10,26,14,0.6804511278195489
"org.hibernate.test.proxy.ProxyTest",392,16,15,18,23,12,0,17,0,0.0
"org.hibernate.boot.registry.selector.internal.StrategySelectorBuilder",392,12,3,20,94,91,1,94,2,1.0
"org.hibernate.jpa.test.transaction.CloseEntityManagerWithActiveTransactionTest",391,24,23,46,31,7,0,15,7,0.8695652173913043
"org.hibernate.envers.test.integration.strategy.ValidityAuditStrategyRevEndTestCustomRevEnt",390,13,9,13,20,9,0,13,8,0.7083333333333334
"org.hibernate.cfg.annotations.PropertyBinder",389,39,30,72,39,22,3,26,26,0.6973684210526315
"org.hibernate.test.ops.MergeMultipleEntityCopiesAllowedOrphanDeleteTest",388,11,10,15,12,5,0,7,0,0.0
"org.hibernate.test.annotations.EntityTest",387,15,12,21,35,15,0,19,1,1.0
"org.hibernate.cfg.CollectionPropertyHolder",386,30,20,81,31,13,3,17,7,0.896551724137931
"org.hibernate.event.internal.DefaultMergeEventListener",386,19,2,59,34,30,3,33,1,1.0
"org.hibernate.boot.internal.SessionFactoryBuilderImpl",385,70,70,72,28,19,1,21,2,0.9927536231884058
"org.hibernate.dialect.SybaseASE15Dialect",384,11,9,12,8,7,31,9,0,0.0
"org.hibernate.hql.internal.ast.HqlParser",381,27,20,94,23,7,4,12,4,0.9423076923076923
"org.hibernate.dialect.pagination.SQLServer2005LimitHandler",381,25,11,93,10,2,2,10,25,0.7266666666666667
"org.hibernate.bytecode.enhance.internal.javassist.EntityEnhancer",381,14,2,37,23,12,1,17,2,0.9615384615384616
"org.hibernate.engine.spi.SessionFactoryDelegatingImpl",380,82,81,82,49,37,0,39,1,1.0
"org.hibernate.persister.entity.UnionSubclassEntityPersister",379,39,21,73,36,26,3,30,10,0.886842105263158
"org.hibernate.jpamodelgen.xml.JpaDescriptorParser",379,19,2,63,30,7,1,12,7,0.8333333333333334
"org.hibernate.engine.spi.CascadingActions",377,50,47,8,18,12,14,16,10,1.0163265306122449
"org.hibernate.jpa.boot.internal.PersistenceXmlParser",377,28,13,73,34,8,8,14,6,0.9074074074074074
"org.hibernate.test.procedure.StoredProcedureParameterTypeTest",376,33,33,33,59,32,0,34,3,0.96875
"org.hibernate.persister.entity.AbstractPropertyMapping",376,20,7,59,24,20,2,24,7,0.9774436090225564
"org.hibernate.boot.model.source.internal.hbm.ResultSetMappingBinder",376,12,6,54,32,18,0,26,0,0.0
"org.hibernate.spatial.dialect.hana.HANASpatialDialect",376,11,11,50,15,12,2,16,2,0.95
"org.hibernate.jpa.test.metadata.MetadataTest",375,16,12,21,31,6,0,9,0,0.0
"org.hibernate.envers.configuration.internal.RevisionInfoConfiguration",375,9,2,50,34,20,1,24,8,0.5625
"org.hibernate.test.annotations.reflection.JPAOverriddenAnnotationReaderTest",374,11,10,12,23,8,0,13,0,0.0
