"type","dep","i-dep","fan-in","fan-out"
"org.hibernate.testing.transaction.TransactionUtil",28,14,66,25
"org.hibernate.cfg.beanvalidation.TypeSafeActivator",42,22,0,26
"org.hibernate.envers.test.integration.proxy.RemovedObjectQueryTest",31,20,0,22
"org.hibernate.tool.hbm2ddl.SchemaExport",41,31,49,37
"org.hibernate.test.annotations.xml.ejb3.Ejb3XmlManyToManyTest",26,0,0,1
"org.hibernate.query.Query",47,22,61,26
"org.hibernate.engine.internal.EntityEntryContext",15,7,2,14
"org.hibernate.dialect.DB2Dialect",36,29,34,34
"org.hibernate.test.annotations.cid.CompositeIdTest",20,8,0,10
"org.hibernate.engine.internal.AbstractEntityEntry",26,18,2,24
"org.hibernate.cache.internal.EnabledCaching",37,27,1,34
"org.hibernate.bytecode.enhance.internal.bytebuddy.CodeTemplates",18,13,0,21
"org.hibernate.loader.custom.CustomLoader",36,27,4,35
"org.hibernate.engine.internal.Cascade",26,20,9,21
"org.hibernate.hql.internal.ast.tree.FromElementFactory",22,17,8,20
"org.hibernate.id.enhanced.TableGenerator",47,35,8,40
"org.hibernate.jpa.test.packaging.PackagedEntityManagerTest",43,27,0,30
"org.hibernate.query.internal.QueryParameterBindingsImpl",34,23,4,30
"org.hibernate.test.naturalid.mutable.MutableNaturalIdTest",18,10,0,13
"org.hibernate.test.unionsubclass.UnionSubclassTest",32,16,0,18
"org.hibernate.testing.junit4.BaseNonConfigCoreFunctionalTestCase",54,33,261,45
"org.hibernate.test.ops.SaveOrUpdateTest",15,8,0,12
"org.hibernate.test.annotations.onetomany.OrderByTest",31,14,0,18
"org.hibernate.engine.internal.JoinSequence",14,11,17,20
"org.hibernate.jpa.test.EntityManagerTest",30,6,0,13
"org.hibernate.Query",38,23,74,26
"org.hibernate.sql.Template",18,12,9,20
"org.hibernate.testing.junit4.BaseCoreFunctionalTestCase",43,24,773,34
"org.hibernate.test.tm.CMTTest",25,10,0,13
"org.hibernate.collection.internal.PersistentIdentifierBag",16,6,2,10
"org.hibernate.hql.internal.classic.PathExpressionParser",16,13,6,17
"org.hibernate.hql.internal.classic.WhereParser",20,12,2,23
"org.hibernate.event.service.internal.EventListenerRegistryImpl",80,40,2,45
"org.hibernate.envers.test.integration.onetomany.detached.DoubleJoinColumnBidirectionalList",11,4,0,5
"org.hibernate.cfg.Configuration",51,39,299,42
"org.hibernate.type.AnyType",30,20,10,28
"org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl",33,27,3,31
"org.hibernate.tool.schema.spi.SchemaManagementToolCoordinator",24,9,10,12
"org.hibernate.event.internal.DefaultLoadEventListener",31,28,2,32
"org.hibernate.collection.internal.PersistentSet",15,6,6,12
"org.hibernate.test.dialect.functional.OracleFollowOnLockingTest",25,8,0,13
"org.hibernate.envers.test.integration.strategy.ValidityAuditStrategyRevEndTsTest",25,13,0,18
"org.hibernate.test.annotations.onetoone.OneToOneTest",25,16,0,21
"org.hibernate.engine.jdbc.internal.JdbcCoordinatorImpl",38,25,5,29
"org.hibernate.envers.test.integration.components.DefaultValueComponents",9,4,0,5
"org.jboss.as.jpa.hibernate5.management.HibernateStatistics",11,1,1,6
"org.hibernate.test.bytecode.enhancement.lazy.StatelessQueryScrollingTest",27,10,0,15
"org.hibernate.userguide.bootstrap.BootstrapTest",54,29,0,37
"org.hibernate.jpa.test.cascade.multilevel.MultiLevelCascadeCollectionIdClassTest",28,1,0,5
"org.hibernate.mapping.Component",24,17,44,26
"org.hibernate.dialect.Cache71Dialect",38,32,2,38
"org.hibernate.metamodel.internal.MetadataContext",35,20,1,26
"org.hibernate.engine.jdbc.connections.internal.ConnectionProviderInitiator",23,11,10,26
"org.hibernate.test.proxy.ProxyTest",23,12,0,17
"org.hibernate.boot.registry.selector.internal.StrategySelectorBuilder",94,91,1,94
"org.hibernate.jpa.test.transaction.CloseEntityManagerWithActiveTransactionTest",31,7,0,15
"org.hibernate.envers.test.integration.strategy.ValidityAuditStrategyRevEndTestCustomRevEnt",20,9,0,13
"org.hibernate.cfg.annotations.PropertyBinder",39,22,3,26
"org.hibernate.test.ops.MergeMultipleEntityCopiesAllowedOrphanDeleteTest",12,5,0,7
"org.hibernate.test.annotations.EntityTest",35,15,0,19
"org.hibernate.cfg.CollectionPropertyHolder",31,13,3,17
"org.hibernate.event.internal.DefaultMergeEventListener",34,30,3,33
"org.hibernate.boot.internal.SessionFactoryBuilderImpl",28,19,1,21
"org.hibernate.dialect.SybaseASE15Dialect",8,7,31,9
"org.hibernate.hql.internal.ast.HqlParser",23,7,4,12
"org.hibernate.dialect.pagination.SQLServer2005LimitHandler",10,2,2,10
"org.hibernate.bytecode.enhance.internal.javassist.EntityEnhancer",23,12,1,17
"org.hibernate.engine.spi.SessionFactoryDelegatingImpl",49,37,0,39
"org.hibernate.persister.entity.UnionSubclassEntityPersister",36,26,3,30
"org.hibernate.jpamodelgen.xml.JpaDescriptorParser",30,7,1,12
"org.hibernate.engine.spi.CascadingActions",18,12,14,16
"org.hibernate.jpa.boot.internal.PersistenceXmlParser",34,8,8,14
"org.hibernate.test.procedure.StoredProcedureParameterTypeTest",59,32,0,34
"org.hibernate.persister.entity.AbstractPropertyMapping",24,20,2,24
"org.hibernate.boot.model.source.internal.hbm.ResultSetMappingBinder",32,18,0,26
"org.hibernate.spatial.dialect.hana.HANASpatialDialect",15,12,2,16
"org.hibernate.jpa.test.metadata.MetadataTest",31,6,0,9
"org.hibernate.envers.configuration.internal.RevisionInfoConfiguration",34,20,1,24
"org.hibernate.test.annotations.reflection.JPAOverriddenAnnotationReaderTest",23,8,0,13
"org.hibernate.test.where.annotations.LazyManyToManyNonUniqueIdWhereTest",28,2,0,7
"org.hibernate.cfg.AbstractPropertyHolder",27,7,3,11
"org.hibernate.boot.model.source.internal.hbm.EntityHierarchySourceImpl",27,14,2,18
"org.hibernate.test.notfound.RequiredLazyNotFoundTest",30,5,0,10
"org.hibernate.engine.internal.TwoPhaseLoad",35,30,5,32
"org.hibernate.internal.util.collections.ArrayHelper",12,3,77,10
"org.hibernate.envers.demo.TestConsole",15,4,1,8
"org.hibernate.engine.jdbc.connections.internal.DriverManagerConnectionProviderImpl",26,14,17,29
"org.hibernate.test.bytecode.enhancement.lazy.proxy.ProxyDeletionTest",25,6,0,8
"org.hibernate.boot.spi.AbstractDelegatingSessionFactoryBuilder",23,14,2,16
"org.hibernate.boot.spi.AbstractDelegatingSessionFactoryOptions",27,14,1,16
"org.hibernate.boot.internal.MetadataImpl",43,34,4,38
"org.hibernate.boot.model.source.internal.hbm.RelationalValueSourceHelper",14,7,1,12
"org.hibernate.jpamodelgen.util.TypeUtils",23,2,6,12
"org.hibernate.event.internal.MergeContextTest",18,3,0,9
"org.hibernate.service.internal.AbstractServiceRegistryImpl",28,18,2,25
"org.hibernate.hql.internal.ast.tree.SelectClause",13,6,6,10
"org.hibernate.envers.test.integration.query.SimpleQuery",19,9,0,11
"org.hibernate.envers.strategy.internal.ValidityAuditStrategy",43,32,1,39
"org.hibernate.test.ops.multiLoad.MultiLoadTest",34,12,0,18
"org.hibernate.event.internal.AbstractSaveEventListener",31,26,4,31
"org.hibernate.test.procedure.PostgreSQLStoredProcedureTest",28,6,0,7
"org.hibernate.test.annotations.manytoone.ManyToOneTest",21,13,0,15
"org.hibernate.dialect.H2Dialect",34,29,171,35
"org.hibernate.jpa.test.procedure.JpaTckUsageTest",31,10,0,15
"org.hibernate.jpa.test.lock.QueryLockingTest",32,8,0,9
"org.hibernate.query.criteria.internal.QueryStructure",24,2,2,6
"org.hibernate.test.procedure.MySQLStoredProcedureTest",32,8,0,17
"org.hibernate.boot.model.source.internal.hbm.AbstractEntitySourceImpl",37,20,2,25
"org.hibernate.jpa.test.packaging.PackagingTestCase",43,26,3,33
"org.hibernate.envers.test.integration.collection.DetachedMultipleCollectionChangeTest",24,9,0,17
"org.hibernate.test.insertordering.InsertOrderingSelfReferenceSingleTableInheritance",25,6,0,10
"org.hibernate.test.where.annotations.LazyElementCollectionWithLazyManyToOneNonUniqueIdWhereTest",30,4,0,14
"org.hibernate.test.collection.delayedOperation.SetDelayedOperationTest",21,3,0,10
"org.hibernate.persister.collection.BasicCollectionPersister",33,26,5,28
"org.hibernate.resource.transaction.backend.jta.internal.JtaTransactionCoordinatorImpl",29,20,10,26
"org.hibernate.loader.plan.exec.internal.AbstractLoadPlanBasedLoader",33,23,2,28
"org.hibernate.test.legacy.Baz",11,0,65,4
"org.hibernate.test.collection.delayedOperation.DetachedBagDelayedOperationTest",32,7,0,15
"org.hibernate.test.dialect.functional.SQLServerDialectTest",24,10,0,14
"org.hibernate.test.component.empty.EmptyCompositeManyToOneKeyCachedTest",18,5,0,8
"org.hibernate.test.legacy.Foo",8,3,87,19
"org.hibernate.test.hqlfetchscroll.HQLScrollFetchTest",20,7,0,10
"org.hibernate.test.collection.map.PersistentMapTest",25,4,0,9
"org.hibernate.test.component.basic.ComponentTest",24,14,0,17
"org.hibernate.dialect.Oracle9Dialect",23,16,5,23
"org.hibernate.test.bytecode.enhancement.lazy.BidirectionalLazyTest",31,11,0,19
"org.hibernate.engine.jdbc.internal.BasicFormatterImpl",6,1,0,10
"org.hibernate.test.orphan.OrphanTest",12,5,0,6
"org.hibernate.test.hql.ScrollableCollectionFetchingTest",20,10,0,15
"org.hibernate.query.procedure.internal.ProcedureParameterImpl",23,15,1,20
"org.hibernate.cfg.annotations.QueryBinder",27,13,1,16
"org.hibernate.engine.query.spi.HQLQueryPlan",32,23,16,28
"org.hibernate.type.AbstractStandardBasicType",19,13,3,18
"org.hibernate.envers.configuration.internal.metadata.MetadataTools",9,4,5,9
"org.hibernate.engine.jdbc.env.internal.JdbcEnvironmentImpl",35,22,4,26
"org.hibernate.test.collection.delayedOperation.ListDelayedOperationTest",23,3,0,10
"org.hibernate.cache.spi.support.AbstractReadWriteAccess",12,4,4,11
"org.hibernate.test.loadplans.process.EncapsulatedCompositeIdResultSetProcessorTest",28,13,1,23
"org.hibernate.hql.internal.ast.tree.IdentNode",15,9,4,14
"org.hibernate.test.join.OptionalJoinTest",9,4,0,5
"org.hibernate.test.id.sequence.NegativeValueSequenceTest",26,14,0,17
"org.hibernate.envers.test.integration.onetomany.detached.InheritanceIndexedJoinColumnBidirectionalList",10,4,0,6
"org.hibernate.hql.internal.ast.SqlGenerator",25,16,8,23
"org.hibernate.test.collection.set.PersistentSetTest",14,6,1,8
"org.hibernate.boot.model.source.internal.hbm.AbstractPluralAttributeSourceImpl",23,18,7,23
"org.hibernate.test.annotations.collectionelement.DefaultNamingCollectionElementTest",21,11,1,17
"org.hibernate.envers.test.integration.onetomany.detached.IndexedJoinColumnBidirectionalList",9,3,0,5
"org.hibernate.bytecode.internal.javassist.BulkAccessorFactory",14,0,1,5
"org.hibernate.test.hql.CriteriaHQLAlignmentTest",28,15,0,17
"org.hibernate.test.jpa.ql.TreatKeywordTest",21,3,0,12
"org.hibernate.test.type.AbstractJavaTimeTypeTest",32,10,7,22
"org.hibernate.userguide.criteria.CriteriaTest",36,10,0,11
"org.hibernate.bytecode.enhance.internal.javassist.PersistentAttributesHelper",20,3,0,8
"org.hibernate.proxy.AbstractLazyInitializer",15,13,5,16
"org.hibernate.test.annotations.id.IdTest",26,22,0,24
"org.hibernate.testing.junit4.CustomRunner",26,4,7,14
"org.hibernate.jpa.test.packaging.JarVisitorTest",36,19,0,26
"org.hibernate.bytecode.enhance.internal.bytebuddy.BiDirectionalAssociationHandler",28,4,1,10
"org.hibernate.spatial.testing.AbstractExpectationsFactory",14,1,15,9
"org.hibernate.query.criteria.internal.CriteriaQueryImpl",29,10,3,20
"org.hibernate.test.type.TypeTest",55,39,0,47
"org.hibernate.engine.query.spi.QueryPlanCache",23,15,7,24
"org.hibernate.test.cid.CompositeIdTest",21,9,0,12
"org.hibernate.type.TypeFactory",15,11,4,14
"org.hibernate.criterion.Example",13,6,6,15
"org.hibernate.test.annotations.id.sequences.IdTest",29,24,0,26
"org.hibernate.loader.entity.CacheEntityLoaderHelper",36,33,2,36
"org.hibernate.test.annotations.enumerated.EnumeratedTypeTest",25,12,0,14
"org.hibernate.engine.internal.NaturalIdXrefDelegate",17,9,1,18
"org.hibernate.id.enhanced.SequenceStyleGenerator",27,22,34,30
"org.hibernate.id.MultipleHiLoPerTableGenerator",37,28,3,35
"org.hibernate.envers.test.integration.components.dynamic.AuditedDynamicComponentsAdvancedCasesTest",18,6,0,12
"org.hibernate.test.jpa.compliance.tck2_2.GeneratedValueTests",29,16,0,19
"org.hibernate.test.bytecode.enhancement.lazy.proxy.BidirectionalProxyTest",32,7,0,15
"org.hibernate.dialect.CUBRIDDialect",12,11,14,12
"org.hibernate.action.internal.EntityUpdateAction",26,23,2,26
"org.hibernate.mapping.Column",11,8,84,14
"org.hibernate.test.joinedsubclassbatch.IdentityJoinedSubclassBatchingTest",24,5,0,8
"org.hibernate.test.converter.map.MapKeyAttributeConverterTest",21,2,0,7
"org.hibernate.jpa.internal.util.PersistenceUtilHelper",19,7,4,22
"org.hibernate.osgi.test.OsgiIntegrationTest",57,15,0,21
"org.hibernate.jpa.event.internal.CallbackBuilderLegacyImpl",25,7,1,14
"org.hibernate.test.subselectfetch.SubselectFetchCollectionFromBatchTest",25,6,0,12
"org.hibernate.jpa.test.cascade.multilevel.MultiLevelCascadeCollectionEmbeddableTest",30,1,0,5
"org.hibernate.test.collection.delayedOperation.BagDelayedOperationTest",21,4,0,11
"org.hibernate.test.extralazy.ExtraLazyTest",19,7,0,8
"org.hibernate.test.hql.FunctionNameAsColumnTest",18,11,0,14
"org.hibernate.jpa.test.criteria.basic.ExpressionsTest",23,5,0,9
"org.hibernate.test.tool.schema.IndividuallySchemaValidatorImplTest",43,24,1,29
"org.hibernate.engine.loading.internal.CollectionLoadContext",29,19,3,21
"org.hibernate.test.cid.CompositeIdWithGeneratorTest",15,3,0,5
"org.hibernate.jpa.test.graphs.queryhint.QueryHintEntityGraphTest",27,9,0,11
"org.hibernate.type.CustomType",21,13,17,25
"org.hibernate.test.where.hbm.LazyManyToManyNonUniqueIdWhereTest",18,2,0,7
"org.hibernate.envers.internal.tools.query.QueryBuilder",28,20,31,29
"org.hibernate.id.enhanced.OptimizerUnitTest",6,3,0,8
"org.hibernate.userguide.envers.QueryAuditTest",25,6,0,8
"org.hibernate.bytecode.enhance.internal.bytebuddy.PersistentAttributeTransformer",31,4,1,9
"org.hibernate.test.resource.transaction.jta.AbstractBasicJtaTestScenarios",18,7,4,8
"org.hibernate.test.bytecode.enhancement.lazy.proxy.SetIdentifierOnAEnhancedProxyTest",36,8,0,10
"org.hibernate.query.criteria.internal.ValueHandlerFactory",3,0,9,23
"org.hibernate.cache.ehcache.internal.EhcacheRegionFactory",28,17,5,27
"org.hibernate.cfg.annotations.reflection.XMLContext",18,9,4,16
"org.hibernate.testing.jdbc.JdbcMocks",9,2,1,11
"org.hibernate.test.idgen.foreign.ForeignGeneratorResourceLocalTest",25,1,1,8
"org.hibernate.mapping.RootClass",12,8,22,12
"org.hibernate.test.exceptionhandling.BaseJpaOrNativeBootstrapFunctionalTestCase",36,21,3,31
"org.hibernate.spatial.dialect.oracle.OracleSpatialFunctions",10,9,1,14
"org.hibernate.hql.internal.ast.util.JoinProcessor",38,25,1,33
"org.hibernate.jpa.test.criteria.QueryBuilderTest",36,17,0,18
"org.hibernate.loader.plan.exec.process.internal.ResultSetProcessingContextImpl",25,15,6,19
"org.hibernate.resource.jdbc.internal.ResourceRegistryStandardImpl",14,6,5,14
"org.hibernate.envers.test.integration.superclass.auditoverride.AuditOverrideAuditJoinTableTest",25,3,0,7
"org.hibernate.query.hhh12225.Contract",1,0,1,1
"org.hibernate.jpamodelgen.test.util.TestUtil",21,0,3,12
"org.hibernate.test.loadplans.process.EncapsulatedCompositeAttributeResultSetProcessorTest",42,16,0,22
"org.hibernate.jpa.test.criteria.simplecase.BasicSimpleCaseTest",22,1,0,4
"org.hibernate.test.tm.InterceptorTransactionTest",24,8,0,12
"org.hibernate.userguide.pc.PersistenceContextTest",26,5,0,7
"org.hibernate.envers.query.internal.impl.AuditAssociationQueryImpl",25,14,1,22
"org.hibernate.test.subselectfetch.SubselectFetchTest",14,8,0,9
"org.hibernate.jcache.test.RefreshUpdatedDataTest",28,11,0,13
"org.hibernate.hql.internal.ast.util.LiteralProcessor",24,16,1,25
"org.hibernate.jpa.test.procedure.DateTimeParameterTest",37,10,0,15
"org.hibernate.spatial.testing.DataSourceUtils",23,1,21,9
"org.hibernate.jdbc.LobCreatorTest",28,11,0,19
"org.hibernate.event.internal.DefaultDeleteEventListener",31,25,1,30
