"method","loc","cyclo","calls","nbd","param"
"me.umov.business.domain.model.builder.BaseLoader.loadModelForOperation(IOperationDTO<TModel> dto)",7,2,6,1,1
"me.umov.business.domain.rule.task.ShouldValidateActivitiesPeriod.getActivity(TaskActivityModel taskActivityModel, ArrayList<RuleMessage> validationMessages)",7,2,5,1,2
"me.umov.business.application.service.DistributionTask.saveTask(List<TaskModel> listTask, AgentModel agentModel)",7,2,4,1,2
"me.umov.business.application.interceptor.JWTAuthorizationInterceptor.preHandle(HttpServletRequest request, HttpServletResponse response, Object handler)",7,2,3,1,3
"me.umov.business.domain.generic.specification.ShouldHaveUniqueDescription.isSatisfiedBy(T candidate)",7,2,3,1,1
"me.umov.business.application.model.WorkJourneyDayModel.isInsideOfInterval(LocalTime time, LocalTime initialTime, LocalTime finalTime)",6,2,4,1,3
"me.umov.business.taskschedule.specification.ShouldHaveStartDateLessThanEndDate.isSatisfiedBy(ItinerarySchedule itinerarySchedule)",6,2,3,1,1
"me.umov.business.domain.client.Client.getIdiomId()",6,2,2,1,0
"me.umov.business.application.authorization.JWTService.extractJwtFromRequestAuthorizationHeader(String authorizationHeader)",6,2,1,1,1
"me.umov.business.taskschedule.anticorruption.relationship.AbstractItineraryRelationshipConverter.remove(RelationshipDTO dto, Itinerary itinerary)",5,2,7,1,2
"me.umov.business.application.observer.TaskSavedObserver.assignTaskWorkCycles(TaskSavedEvent event)",5,2,5,1,1
"me.umov.business.application.service.DistributionTask.verifyByTask(List<TaskModel> listTask)",5,2,3,1,1
"me.umov.business.domain.rule.task.ShouldHaveValidSituationLifeCicle.validateNewTaskToNextSituations(ArrayList<RuleMessage> messages)",5,2,3,1,1
"me.umov.business.application.model.Interval.Interval(String interval)",5,2,1,1,1
"me.umov.business.application.model.Interval.validateInterval(String interval)",5,2,1,1,1
"me.umov.business.application.service.idiom.IdiomWrapper.scheduleSendNotificationMessage(String parameter)",5,2,1,1,1
"me.umov.business.domain.rule.task.ShouldValidateAgentPortfolio.validateLocalAgentPortfolio(List<RuleMessage> validationMessages)",4,2,5,1,1
"me.umov.business.domain.client.Client.getIdiom()",4,2,1,1,0
"me.umov.business.shared.domain.event.DomainEventRegistry.checkEvent(DomainEvent event)",4,2,0,1,1
"me.umov.business.application.service.DistributionTask.hasTask(List<TaskModel> listTask)",3,2,2,1,1
"me.umov.business.application.authorization.JWTService.getAgentId(Claim agentId)",2,2,1,1,1
"me.umov.business.taskschedule.domain.ItineraryCronService.createCronFor(Itinerary itinerary)",12,2,12,0,1
"me.umov.business.taskschedule.domain.ItineraryScheduleCronService.createCronFor(ItinerarySchedule itinerarySchedule)",12,2,12,0,1
"me.umov.business.application.interceptor.CORSInterceptor.preHandle(HttpServletRequest request, HttpServletResponse response, Object handler)",12,2,7,0,3
"me.umov.business.application.service.BaseService.processValidationRules(List<BusinessRule> validationRules)",8,2,10,0,1
"me.umov.business.domain.rule.task.ShouldHaveNoTaskInDate.processRule()",8,2,3,0,0
"me.umov.business.domain.rule.task.ShouldHaveOneAgentWhenOnlyOneAgentTeam.processRule()",8,2,3,0,0
