"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.business.application.observer.BeforeTaskSaveObserverTest",35,3,3,3,10,4,0,4,3
"me.umov.business.domain.rule.customfield.ShouldHaveValidGeocoordinateCustomFields",35,3,3,6,8,4,4,5,3
"me.umov.business.domain.rule.task.ShouldNotHaveAgentTest",35,2,2,2,12,6,0,6,1
"me.umov.business.infrastructure.serialization.LocalTimeSerializationAdapter",35,2,2,8,11,0,7,3,2
"me.umov.business.application.model.fixture.SystemParametersFixture",34,7,7,7,4,1,6,1,1
"me.umov.business.infrastructure.serialization.LocalDateSerializationAdapterTest",34,5,5,5,8,1,0,1,0
"me.umov.business.application.model.fixture.AddressFixture",34,5,5,5,2,2,3,2,1
"me.umov.business.utils.specification.domain.BaseValidatorTest",34,4,4,3,5,0,0,1,4
"me.umov.business.application.service.ActivityServiceTest",34,2,2,2,14,3,0,3,3
"me.umov.business.taskschedule.anticorruption.relationship.RelationshipFactory",34,1,1,6,8,4,0,5,4
"me.umov.business.application.model.fixture.AgentModelFixture",33,7,7,7,3,2,15,2,1
"me.umov.business.application.controller.agent.AgentRelationship",33,7,7,7,1,0,7,1,3
"me.umov.business.utils.specification.domain.SpecificationResult",33,6,5,7,4,0,41,0,2
"me.umov.business.domain.rule.customfield.ShouldHaveRequiredCustomFields",33,3,3,6,7,4,8,5,2
"me.umov.business.domain.rule.task.ShouldInitiateTodayTest",33,2,2,2,11,4,0,4,1
"me.umov.business.domain.activityHistory.ActivityHistoryServiceImplTest",33,2,2,2,9,3,0,3,4
"me.umov.business.domain.itinerary.ItineraryCronService",33,2,2,4,5,2,2,2,3
"me.umov.business.domain.itinerary.ItineraryScheduleCronService",33,2,2,4,5,2,5,2,3
"me.umov.business.anticorruption.servicelocal.ServiceLocalConverterImpl",33,1,1,1,7,5,0,6,1
"me.umov.business.application.repository.custom.ActivityRepositoryImpl",33,1,1,5,8,1,0,2,2
"me.umov.business.architecture.GeneralTest",33,0,0,1,8,0,0,0,6
"me.umov.business.application.model.dto.AgentTaskDTO",32,7,7,7,1,0,2,0,3
"me.umov.business.application.model.fixture.WorkJourneyDayModelFixture",32,6,6,6,3,1,2,1,1
"me.umov.business.application.model.fixture.WorkJourneyModelFixture",32,5,5,5,7,2,3,2,1
"me.umov.business.application.model.toggle.FeatureToggle",32,4,4,4,4,2,3,3,4
"me.umov.business.taskschedule.anticorruption.taskSchedule.TaskScheduleCreateConverter",32,3,0,3,6,3,1,5,0
"me.umov.business.domain.rule.task.ShouldHaveValidInitialDate",32,3,3,7,7,3,9,4,2
"me.umov.business.infrastructure.jpa.AgentPorfolioValidationConverterTest",32,2,2,2,7,1,0,1,0
"me.umov.business.domain.rule.task.ShouldBeInPreparationTest",32,2,2,2,10,4,0,4,1
