"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.jaiminho.domain.model.Source",16,3,3,3,0,0,1,0,2
"me.umov.jaiminho.application.dto.ResultDTO",16,3,3,3,0,0,2,0,2
"me.umov.jaiminho.application.dto.StatusMessage",16,3,3,3,0,0,2,0,2
"me.umov.jaiminho.domain.model.MessageTest",16,2,2,2,3,0,0,0,0
"me.umov.jaiminho.infrastructure.configuration.mongo.MultipleMongoProperties",16,2,2,2,3,0,0,0,2
"me.umov.jaiminho.infrastructure.dao.LocalDateTimeAttributeConverter",16,2,2,4,4,0,2,1,0
"me.umov.jaiminho.JaiminhoApplication",16,0,1,1,7,0,0,0,0
"me.umov.jaiminho.domain.ports.IRequest",15,9,9,9,3,0,8,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.mapping.ClientFixture",15,3,3,3,1,1,2,1,1
"me.umov.jaiminho.fixture.CustomFieldValueFixture",15,3,3,3,1,1,3,1,1
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementAgentLink",15,2,0,2,3,2,0,4,0
"me.umov.jaiminho.infrastructure.configuration.NotificationBlacklistConfiguration",15,1,1,1,5,0,1,0,1
"me.umov.jaiminho.infrastructure.configuration.JwtConfiguration",15,1,1,1,5,0,0,0,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.model.CallbackProtocol",14,3,3,3,1,1,2,1,1
"me.umov.jaiminho.infrastructure.dao.TaskDao",14,3,3,3,3,1,10,2,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementReportLink",14,2,0,2,3,2,1,4,0
"me.umov.jaiminho.anticorruption.xstreamadapter.core.replace.ReplacementGroup",14,1,1,2,3,2,0,3,0
"me.umov.jaiminho.domain.validators.rules.SmsTextLengthRuleValidation",14,1,1,2,4,3,2,4,1
"me.umov.jaiminho.domain.validators.rules.ShouldSendEmailValidation",14,1,1,2,4,3,2,4,1
"me.umov.jaiminho.domain.validators.rules.PhoneLengthRuleValidation",14,1,1,2,4,3,2,4,1
"me.umov.jaiminho.domain.model.TaskResult",14,1,1,1,2,0,1,0,2
"me.umov.jaiminho.domain.validators.rules.SubjectRuleValidation",13,1,1,3,4,3,2,4,0
"me.umov.jaiminho.domain.ports.ICredentials",12,6,6,6,3,1,8,1,0
"me.umov.jaiminho.infrastructure.gson.GsonWrapper",12,1,1,1,3,0,2,0,1
