"method","loc","cyclo","calls","nbd","param"
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processCmpLe(Expression expr)",17,8,15,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processCmpNe(Expression expr)",17,8,15,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processCmpGt(Expression expr)",16,8,15,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processCmpLt(Expression expr)",16,8,15,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processAdd(Expression expr)",16,8,5,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processDiv(Expression expr)",16,8,5,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processMul(Expression expr)",16,8,5,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processRem(Expression expr)",16,8,5,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.processSub(Expression expr)",16,8,5,4,1
"one.util.huntbugs.detect.CompareUsage.isCompare(Expression child)",11,8,12,4,1
"one.util.huntbugs.output.Reports.diffWarnings(List<Warning> oldWarnings, List<Warning> newWarnings)",39,8,46,3,2
"one.util.huntbugs.util.Nodes.isCompoundAssignment(Node node)",32,8,36,3,1
"one.util.huntbugs.warning.Formatter.formatValue(Object value, String format)",23,8,8,3,2
"one.util.huntbugs.flow.etype.AndType.shrinkConstraint(TypeReference tr, boolean exact)",21,8,9,3,2
"one.util.huntbugs.flow.etype.AndType.is(TypeReference tr, boolean exact)",21,8,1,3,2
"one.util.huntbugs.flow.etype.AndType.isArray()",21,8,1,3,0
"one.util.huntbugs.flow.etype.AndType.appendAny(EType type)",20,8,7,3,1
"one.util.huntbugs.detect.BadMonitorObject.visit(Expression expr, MethodContext mc)",19,8,15,3,2
"one.util.huntbugs.warning.Formatter.formatDouble(double val)",16,8,2,3,1
"one.util.huntbugs.warning.Formatter.formatFloat(float val)",16,8,2,3,1
"one.util.huntbugs.detect.VolatileArray.checkField(FieldDefinition fd, FieldStats fs, FieldContext fc)",15,8,14,3,3
"one.util.huntbugs.util.Nodes.isEmptyOrBreak(Block block)",13,8,10,3,1
"one.util.huntbugs.util.Nodes.getWrittenVariable(Node node)",13,8,9,3,1
"one.util.huntbugs.detect.InfiniteRecursion.selfCall(Expression expr, MethodDefinition md)",18,8,10,2,2
"one.util.huntbugs.detect.WrongMapIterator.usedForGetOnly(Expression key, Expression mapArg)",16,8,17,2,2
"one.util.huntbugs.detect.InfiniteRecursion.checkArgs(Expression expr)",16,8,13,2,1
"one.util.huntbugs.detect.StaticFieldNonThreadSafe.visitField(FieldDefinition fd, FieldContext fc, TypeDefinition td)",10,8,12,2,3
"one.util.huntbugs.flow.etype.SingleType.isArray()",19,8,7,1,0
"one.util.huntbugs.flow.Nullness.or(NullState other)",8,8,0,1,1
"one.util.huntbugs.util.Methods.collectSuperMethods(TypeDefinition type, MemberInfo mi, Set<MethodDefinition> list)",22,7,10,8,3
"one.util.huntbugs.util.Methods.isPure(MethodReference mr)",13,7,22,8,1
"one.util.huntbugs.util.Methods.isThrower(MethodDefinition md)",12,7,6,8,1
"one.util.huntbugs.testdata.TestKnownComparison.testComplexLoop(int x)",18,7,3,7,1
"one.util.huntbugs.detect.UnusedParameter.findOverloadCall(MethodDefinition md, Block block)",13,7,14,6,2
"one.util.huntbugs.detect.AtomicConcurrent.isGetOrContains(Expression self, Expression key, Expression call)",11,7,13,6,3
"one.util.huntbugs.util.NodeChain.getSyncObject()",21,7,8,5,0
"one.util.huntbugs.flow.SourceAnnotator$Frame.mergeSources(Frame other, FrameContext fc)",20,7,17,5,2
"one.util.huntbugs.detect.SameBranches.check(MethodDefinition md, TypeDefinition td)",10,7,13,5,2
"one.util.huntbugs.ant.HuntBugsTask.execute()",26,7,14,4,0
"one.util.huntbugs.testdata.TestSameBranches.testSwitch(int a)",22,7,6,4,1
"one.util.huntbugs.detect.AbandonedStream.visit(Expression expr, MethodContext mc)",17,7,15,4,2
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.resolve(ContextValues contextValues, Expression expr)",15,7,5,4,2
"one.util.huntbugs.detect.RandomUsage.checkOnlyOnce(Expression node, MethodContext ctx)",13,7,19,4,2
"one.util.huntbugs.flow.ETypeAnnotator$ContextTypes.merge(ContextTypes other)",12,7,9,4,1
"one.util.huntbugs.detect.RandomUsage.isRandomDouble(Node node)",11,7,13,4,1
"one.util.huntbugs.flow.ConstAnnotator$ContextValues.merge(ContextValues other)",11,7,8,4,1
"one.util.huntbugs.registry.Detector$VisitorInfo.isApplicable(MethodDefinition md)",8,7,14,4,1
"one.util.huntbugs.flow.ConstAnnotator$ConstDataflow.resolveConditional(ContextValues contextValues, Expression expr)",8,7,3,4,2
"one.util.huntbugs.detect.NumericComparison$LongRange.LongRange(AstCode code, long constant)",29,7,0,3,2
"one.util.huntbugs.registry.MethodData.getOffset(Node node)",18,7,17,3,1
"one.util.huntbugs.maven.plugin.HuntBugsMojo.addDependency(Artifact art, List<ITypeLoader> deps)",16,7,16,3,2
"one.util.huntbugs.detect.RegexProblems.checkBadPatterns(MethodContext mc, Expression regexExpr, Object replacementObj)",16,7,10,3,3
"one.util.huntbugs.detect.NumericComparison.getExpressionRange(JvmType type, Expression arg, Set<Expression> visited)",15,7,12,3,3
"one.util.huntbugs.detect.AppendObjectOutputStream.isAppendOutput(Expression expr)",13,7,13,3,1
"one.util.huntbugs.detect.DroppedExceptionObject.visit(Expression expr, NodeChain nc, MethodContext mc)",12,7,14,3,3
"one.util.huntbugs.detect.NegativeRemainder.check(Expression expr, MethodContext mc)",12,7,13,3,2
"one.util.huntbugs.db.MethodStats.visitType(TypeDefinition td)",12,7,10,3,1
"one.util.huntbugs.util.Nodes.dropNarrowing(Expression expression)",12,7,3,3,1
"one.util.huntbugs.db.MethodStats$MethodData.testAny(long flag, boolean exact)",10,7,1,3,2
"one.util.huntbugs.detect.ReturnNull.checkMethod(MethodDefinition md)",7,7,14,3,1
