"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"one.util.huntbugs.spi.DataTests",50,1,1,4,18,8,2,8,0
"one.util.huntbugs.testdata.TestStringIndex",49,10,10,10,2,0,0,1,1
"one.util.huntbugs.testdata.TestMinValueHandling",49,7,5,8,4,0,0,2,0
"one.util.huntbugs.assertions.AssertionData",49,4,4,14,2,1,2,2,5
"one.util.huntbugs.testdata.TestAtomicConcurrent",47,6,6,9,3,0,0,3,2
"one.util.huntbugs.detect.SyncGetClass",47,3,2,13,16,4,0,4,0
"one.util.huntbugs.testdata.TestAverageComputation",47,3,0,12,2,0,0,0,0
"one.util.huntbugs.detect.NegativeRemainder",47,2,1,19,10,4,0,5,0
"one.util.huntbugs.asserter.TestAsserter",46,6,5,5,2,0,0,2,2
"one.util.huntbugs.testdata.TestIteratorContract",46,6,6,8,5,0,0,4,3
"one.util.huntbugs.db.DeclaredAnnotations",46,3,2,10,11,2,1,3,1
"one.util.huntbugs.detect.CheckReturnValue",46,2,1,13,11,4,0,5,0
"one.util.huntbugs.detect.KnownComparison",46,1,1,11,14,6,0,7,3
"one.util.huntbugs.warning.Roles",46,1,0,1,8,0,62,0,33
"one.util.huntbugs.testdata.TestRandomUsage",45,9,9,9,6,0,0,2,0
"one.util.huntbugs.testdata.TestCompareUsage",45,8,8,10,3,0,0,1,0
"one.util.huntbugs.detect.SpinLoop",45,3,1,14,12,3,0,4,0
"one.util.huntbugs.detect.StartInConstructor",45,2,2,10,15,3,0,3,0
"one.util.huntbugs.detect.SqlBadArgument",44,2,1,13,10,3,0,5,0
"one.util.huntbugs.testdata.TestSelfComputation",43,8,8,8,4,0,0,4,0
"one.util.huntbugs.testdata.TestSyncOnUpdatedField",43,5,5,5,2,0,0,1,2
"one.util.huntbugs.repo.JarRepository",43,3,3,13,5,0,3,4,1
"one.util.huntbugs.detect.IncorrectVarArg",43,2,1,12,10,2,0,3,0
"one.util.huntbugs.detect.StringUsage",43,1,1,11,11,3,0,3,0
"one.util.huntbugs.util.Xml",42,5,5,11,5,0,2,3,0
"one.util.huntbugs.testdata.TestInternationalization",41,8,8,8,6,0,0,1,0
"one.util.huntbugs.testdata.TestRegexProblems",41,7,7,10,4,0,0,3,0
"one.util.huntbugs.detect.VolatileArray",41,2,1,14,8,3,0,4,0
"one.util.huntbugs.testdata.TestSpinLoop",40,6,3,12,2,0,0,0,5
"one.util.huntbugs.testdata.TestDubiousCatch",39,3,3,7,3,0,0,3,1
"one.util.huntbugs.detect.BadMethodReferences",39,2,1,10,14,3,0,4,0
"one.util.huntbugs.detect.SelfComputation",39,2,1,19,12,5,0,6,0
"one.util.huntbugs.detect.BadMonitorObject",39,1,1,8,12,4,0,4,1
"one.util.huntbugs.registry.DetectorRegistryTest",38,4,3,5,9,3,0,4,2
"one.util.huntbugs.detect.CompareContract",38,2,2,13,13,4,0,5,1
"one.util.huntbugs.detect.EasyMockProblems",38,2,2,12,13,3,0,4,0
"one.util.huntbugs.output.HtmlReportWriter",37,2,2,2,12,0,1,3,2
"one.util.huntbugs.testdata.TestUnsupportedCall",36,7,6,8,3,0,2,5,0
"one.util.huntbugs.flow.Annotator",36,6,0,9,4,1,5,2,2
"one.util.huntbugs.testdata.TestUnsafeGetResource",36,6,6,15,4,0,1,4,0
"one.util.huntbugs.testdata.TestMutableServletField",36,5,5,6,7,0,0,2,4
"one.util.huntbugs.util.Iterables",36,4,4,2,3,0,0,4,2
"one.util.huntbugs.detect.DubiousCatch",36,1,1,6,11,2,0,3,1
"one.util.huntbugs.detect.SyncOnUpdatedField",36,1,1,12,9,3,0,3,0
