"method","loc","cyclo","calls","nbd","param"
"edu.umd.cs.findbugs.ba.npe.IsNullValue.toString()",45,21,2,3,0
"edu.umd.cs.findbugs.detect.LostLoggerDueToWeakReference.sawOpcode(int seen)",59,21,31,2,1
"edu.umd.cs.findbugs.detect.FindNonShortCircuit.scanForDanger(int seen)",42,21,4,2,1
"edu.umd.cs.findbugs.detect.SynchronizeAndNullCheckField.sawOpcode(int seen)",52,21,8,1,1
"edu.umd.cs.findbugs.FindBugs2.buildReferencedClassSet()",127,20,48,7,0
"edu.umd.cs.findbugs.ba.deref.UnconditionalValueDerefAnalysis.propagateDerefSetsToMergeInputValues(UnconditionalValueDerefSet fact, Edge edge)",87,20,42,7,2
"edu.umd.cs.findbugs.classfile.analysis.ClassInfo$Builder.build()",69,20,42,6,0
"edu.umd.cs.findbugs.detect.FindOpenStream.analyzeMethod(ClassContext classContext, Method method, StreamResourceTracker resourceTracker, ResourceCollection<Stream> resourceCollection)",120,20,44,5,4
"edu.umd.cs.findbugs.detect.DumbMethodInvocations.analyzeMethod(ClassContext classContext, Method method)",77,20,46,5,2
"edu.umd.cs.findbugs.detect.DumbMethods$NullMethodsSubDetector.sawOpcode(int seen)",65,20,46,5,1
"edu.umd.cs.findbugs.detect.DumbMethods$BadCastInEqualsSubDetector.sawOpcode(int seen)",34,20,26,5,1
"edu.umd.cs.findbugs.gui2.BugTreeModel.branchOperations(ArrayList<String> stringsToBranch, TreeModification whatToDo)",78,20,39,4,2
"edu.umd.cs.findbugs.cloud.AbstractCloud.printCloudSummary(PrintWriter w, Iterable<BugInstance> bugs, String[] packagePrefixes)",97,20,57,3,3
"edu.umd.cs.findbugs.detect.FindNonSerializableValuePassedToWriteObject.analyzeMethod(ClassContext classContext, Method method)",95,20,39,3,2
"edu.umd.cs.findbugs.detect.InitializeNonnullFieldsInConstructor.sawOpcode(int seen)",53,20,23,3,1
"edu.umd.cs.findbugs.detect.SerializableIdiom.sawOpcode(int seen)",67,19,40,8,1
"edu.umd.cs.findbugs.classfile.engine.bcel.FinallyDuplicatesInfoFactory$TryBlock.equalBlocks(InstructionHandle ih1, InstructionHandle ih2, int length, int[] positions)",56,19,27,6,4
"edu.umd.cs.findbugs.detect.CallToUnsupportedMethod.analyzeMethod(ClassContext classContext, Method method)",76,19,37,5,2
"edu.umd.cs.findbugs.detect.FindUseOfNonSerializableValue.analyzeMethod(ClassContext classContext, Method method)",92,19,33,4,2
"edu.umd.cs.findbugs.detect.FindUnrelatedTypesInGenericContainer.isGenericCollection(ClassDescriptor operandClass)",66,19,23,4,1
"edu.umd.cs.findbugs.detect.FindUnreleasedLock$LockFrameModelingVisitor.transferInstruction(InstructionHandle handle, BasicBlock basicBlock)",72,19,41,3,2
"edu.umd.cs.findbugs.detect.QuestionableBooleanAssignment.sawOpcode(int seen)",55,19,6,3,1
"edu.umd.cs.findbugs.I18N$DesignationKeyComparator.categoryOf(String key)",51,19,11,3,1
"edu.umd.cs.findbugs.detect.BadSyntaxForRegularExpression.singleDotPatternWouldBeSilly(int stackDepth, boolean ignorePasswordMasking)",36,19,21,3,2
"edu.umd.cs.findbugs.visitclass.DismantleBytecode.areOppositeBranches(int opcode1, int opcode2)",31,19,2,3,2
"edu.umd.cs.findbugs.detect.IDivResultCastToDouble.sawOpcode(int seen)",30,19,16,1,1
"edu.umd.cs.findbugs.detect.DontIgnoreResultOfPutIfAbsent.analyzeMethod(ClassContext classContext, Method method)",103,18,51,9,2
"edu.umd.cs.findbugs.ba.deref.UnconditionalValueDerefAnalysis.transferInstruction(InstructionHandle handle, BasicBlock basicBlock, UnconditionalValueDerefSet fact)",74,18,20,7,3
"edu.umd.cs.findbugs.plan.ExecutionPlan.build()",96,18,45,6,0
"edu.umd.cs.findbugs.detect.DuplicateBranches.findSwitchDuplicates(CFG cfg, Method method, BasicBlock bb)",92,18,25,6,3
"edu.umd.cs.findbugs.ba.vna.ValueNumberFrameModelingVisitor.visitInvokeOnException(Instruction obj)",33,18,24,6,1
