"method","loc","cyclo","calls","nbd","param"
"com.trevisan.umovandroid.eca.business.EcaProcessResultManager.processResult(final List<ActionImpl> actionsList, final Hashtable<ActionImpl,Result> processResult, final EcaPlatformEvent ecaPlatformEvent, final TTActivityBase activityBase)",27,9,7,3,4
"com.trevisan.umovandroid.lib.expressions.operand.ExpressionValue.contains(ExpressionValue expressionValue, FeatureToggle featureToggle)",26,9,23,3,2
"com.trevisan.umovandroid.action.ActionBackToSections.run()",21,9,25,3,0
"com.trevisan.umovandroid.component.TTTextBox.appyMaskAccordingTextLenght(String textMask, boolean setMaskWhenTextComesFromFormulas)",12,9,13,3,2
"com.trevisan.umovandroid.sync.historical.HistoricalManager.generateData(SyncHeader syncHeader, SyncOptions syncOptions)",91,9,38,2,2
"com.trevisan.umovandroid.view.larepublica.expanableTaskSection.ExpandableVerticalGridTaskSection.onBindItemViewHolder(RecyclerView.ViewHolder holder, final int position)",58,9,31,2,2
"com.trevisan.umovandroid.eca.business.HttpClientImpl.doPost(Form form)",49,9,27,2,1
"com.trevisan.umovandroid.lib.expressions.operand.function.SectionFieldMinFunctionOperand.calculateValue()",41,9,33,2,0
"com.trevisan.umovandroid.expressions.DefaultEntitiesAttributeRetriever.getCustomFields()",39,9,16,2,0
"com.trevisan.umovandroid.view.ActivityLocationEditNew.addLocationCustomFields(final LinearLayout container)",25,9,24,2,1
"com.trevisan.umovandroid.util.TaskExhibitionFieldUtils.buildActivityTypeByTaskExhbitionFields(ActivityType activityType, ActivityType activityTypeResult)",12,9,24,2,2
"com.trevisan.umovandroid.util.TaskExhibitionFieldUtils.getTaskExhibitionFieldNumber(TaskExhibitionFieldType type, SystemParameters systemParameters, ActivityType activityType, boolean bySystemParameters)",12,9,8,2,4
"com.trevisan.umovandroid.view.MessageDialogWithEditText.MessageDialogWithEditText(Activity activity, String title, String message, byte buttonsMode, Runnable callback, String buttonYesText, String buttonNoText, int mode, String detailsMsg)",106,9,77,1,9
"com.trevisan.umovandroid.view.larepublica.expanableTaskSection.ExpandableSectionTaskFactory.makeSection()",33,9,9,1,0
"com.trevisan.umovandroid.service.downloadimagesentity.DownloadImagesEntityExecutor.processDownload()",32,9,16,1,0
"com.trevisan.umovandroid.model.settingsproperties.SignUpSettings.verifyIntegrityOfFieldsAndSetDefaultValueIfNecessary(SignUpSettings signUpSettings, Context context)",25,9,48,1,2
"com.trevisan.umovandroid.dao.CustomFieldValueDAO.readFromCursor(Cursor cursor)",20,9,33,1,1
"com.trevisan.umovandroid.service.ExecutionExpressionsFromItemsListService.getComponentAnswers(Field readOnlyField, Field editTextField, Field logicField, TaskExecutionManager taskExecutionManager)",23,8,28,10,4
