"method","loc","cyclo","calls","nbd","param"
"me.umov.ureport.persistence.type.JSONParametersType.equals(Object a, Object b)",3,2,1,0,2
"me.umov.ureport.persistence.type.JSONTagsType.equals(Object a, Object b)",3,2,1,0,2
"me.umov.ureport.config.database.converter.LocalDateTimeAttributeConverter.convertToDatabaseColumn(LocalDateTime localDateTime)",3,2,1,0,1
"me.umov.ureport.config.database.converter.LocalDateTimeAttributeConverter.convertToEntityAttribute(Timestamp timestamp)",3,2,1,0,1
"me.umov.ureport.controller.FilterController.buildModel(ModelAndView model, ModelMap map, Report report, PhotoBookReportParameters photoBookReportParameters, List<Team> teams, List<Agent> agents, List<LocalClass> localClasses, List<Local> locals, List<Activity> activities, List<ActivitySection> activitySections, List<ActivityField> activityFields, List<Filter> filters, List<ItemGroup> itemGroups, List<ItemSubGroup> itemSubGroups, List<Item> items)",32,1,43,2,15
"me.umov.ureport.dao.PhotoBookDao.getPhotoBookData(Integer pagingSize, Integer lastImageLoaded, PhotoBookReportParameters photoBookReportParameters)",27,1,25,2,3
"me.umov.ureport.controller.FilterController.loadParameterValues(ModelAndView model, ModelMap map, Report report, PhotoBookReportParameters photoBookReportParameters)",27,1,12,2,4
"me.umov.ureport.controller.ReportController.ReportController(ReportService reportService, TeamService teamService, LocalClassService localClassService, LocalService localService, PhotoBookService photoBookService, AgentService agentService, ActivityService activityService, User user, ReportConfiguration reportConfiguration, ActivitySectionService activitySectionService, ActivityFieldService activityFieldService, ScheduledReportService scheduledReportService, ItemGroupService itemGroupService, ItemSubGroupService itemSubGroupService, ItemService itemService, FilterService filterService)",26,1,0,2,16
"me.umov.ureport.controller.ReportController.applyFilters(@RequestParam Integer pagingSize, @RequestParam Integer lastImageLoaded, @Valid @ModelAttribute PhotoBookReportParameters photoBookReportParameters, ModelMap map)",24,1,15,2,4
"me.umov.ureport.controller.ReportController.countAppliedFilters(@Valid @ModelAttribute PhotoBookReportParameters photoBookReportParameters, ModelMap map)",21,1,15,2,2
"me.umov.ureport.controller.ReportController.viewWithFilterStructureSelected(@PathVariable(value='id') Long id, @PathVariable(value='structureId') Long structureId, ModelMap map)",20,1,14,2,3
"me.umov.ureport.controller.FilterController.newFilter(ModelMap map)",19,1,10,2,1
"me.umov.ureport.controller.FilterController.buildDefaultParameters()",12,1,10,2,0
"me.umov.ureport.controller.ReportController.list(@RequestParam(value='name',required=false) String name)",12,1,5,2,1
"me.umov.ureport.controller.ReportController.rescheduleReport(@PathVariable(value='scheduledReportId') Long scheduledReportId)",12,1,5,2,1
"me.umov.ureport.controller.ReportController.buildDefaultParameters()",11,1,9,2,0
"me.umov.ureport.controller.ReportController.accessScheduledReports()",11,1,4,2,0
"me.umov.ureport.controller.ReportController.listScheduledReport()",11,1,4,2,0
"me.umov.ureport.service.dbview.ActivityService.findActiveByIds(List<Long> activitiesIds)",9,1,9,2,1
"me.umov.ureport.service.dbview.ActivityService.findAgentLinkedActivities()",9,1,9,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.setContentFlags()",7,1,6,2,0
"me.umov.ureport.service.dbview.PhotoBookService.PhotoBookService(PhotoBookDao photoBookDao, MediaService mediaService, ActivityService activityService, HistoryValueService historyValueService, User user)",7,1,0,2,5
"me.umov.ureport.dao.PhotoBookDao.getPhotoBookDataCount(PhotoBookReportParameters photoBookReportParameters)",5,1,8,2,1
"me.umov.ureport.service.dbview.ActivityService.findAgentLinkedActivitiesIds()",4,1,6,2,0
"me.umov.ureport.controller.FilterController.saveFilter(@Valid @RequestBody FilterDTO filterDTO)",4,1,2,2,1
"me.umov.ureport.service.dbview.PhotoBookService.getPhotoBookDataCount(PhotoBookReportParameters photoBookReportParameters)",4,1,2,2,1
"me.umov.ureport.controller.FilterController.FilterController(User user, FilterService filterService)",4,1,0,2,2
"me.umov.ureport.model.report.PhotoBookReportParameters.approvalTagFilled()",3,1,3,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.allTagsFilled()",3,1,2,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.ratingTagFilled()",3,1,1,2,0
"me.umov.ureport.service.report.StatusService.getStatus()",3,1,1,2,0
"me.umov.ureport.interceptor.UserInterceptor.UserInterceptor(AuthenticationService authenticationService)",3,1,0,2,1
"me.umov.ureport.dao.PhotoBookDao.getSession()",2,1,1,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.hasTaskId()",2,1,1,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.isAnyRelatedFieldVisible()",2,1,1,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.itemGroupsFilled()",2,1,1,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.itemSubGroupsFilled()",2,1,1,2,0
"me.umov.ureport.model.report.PhotoBookReportParameters.itemsFilled()",2,1,1,2,0
"me.umov.ureport.dao.PhotoBookDao.sqlAddPaging(Integer pagingSize, Integer lastImageLoaded)",2,1,0,2,2
"me.umov.ureport.model.report.PhotoBookReportParameters.setActivities(List<Long> activities)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setActivityDescriptionVisible(boolean activityDescriptionVisible)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setActivityFieldFirstPhoto(Long activityFieldFirstPhoto)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setActivityFieldSecondPhoto(Long activityFieldSecondPhoto)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setActivityFields(List<Long> activityFields)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setActivityId(Long activityId)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setActivitySections(List<Long> activitySections)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setAgentLinkedActivities(List<Long> agentLinkedActivities)",2,1,0,2,1
"me.umov.ureport.model.report.PhotoBookReportParameters.setAgentVisible(boolean agentVisible)",2,1,0,2,1
