"method","loc","cyclo","calls","nbd","param"
"com.puppycrawl.tools.checkstyle.checks.whitespace.whitespaceafter.InputWhitespaceAfterBraces.testIf()",35,10,20,1,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.whitespacearound.InputWhitespaceAroundBraces.testIf()",35,10,20,1,0
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.validateRuleNameOrder(String fileName, String lastRuleName, String[] lastRuleNumberParts, String ruleName)",62,9,18,7,4
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.getFieldClass(String fileName, String sectionName, Object instance, Field field, String propertyName)",40,9,9,7,5
"com.puppycrawl.tools.checkstyle.internal.XdocsPagesTest.isValidCheckstyleXml(String fileName, String code, String unserializedSource)",37,9,16,7,3
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo31()",34,9,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo96()",32,9,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo14()",25,9,0,6,0
"com.puppycrawl.tools.checkstyle.checks.coding.finallocalvariable.InputFinalLocalVariableFalsePositives.foo49()",18,9,1,6,0
"com.puppycrawl.tools.checkstyle.internal.XdocsJavaDocsTest$JavaDocCapture.visitToken(DetailAST ast)",33,9,15,5,1
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck.isInitializationSequence(DetailAST variableUsageAst, String variableName)",64,9,11,4,2
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck.getFirstNodeInsideIfBlock(DetailAST block, DetailAST variable)",59,9,15,4,2
"com.puppycrawl.tools.checkstyle.checks.design.HideUtilityClassConstructorCheck$Details.invoke()",45,9,10,4,0
"com.puppycrawl.tools.checkstyle.internal.utils.CheckUtil.getTokenText(int[] tokens, int... subtractions)",43,9,9,4,2
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck.handleCommentAtTheEndOfTheCodeBlock(DetailAST prevStmt, DetailAST comment, DetailAST nextStmt)",38,9,21,4,3
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck.findPreviousStatement(DetailAST comment, DetailAST root)",36,9,14,4,2
"com.puppycrawl.tools.checkstyle.checks.coding.MultipleVariableDeclarationsCheck.visitToken(DetailAST ast)",36,9,14,4,1
"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck.isDistributedExpression(DetailAST comment)",34,9,15,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.VariableDeclarationUsageDistanceCheck.visitToken(DetailAST ast)",33,9,20,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck.leaveToken(DetailAST ast)",32,9,10,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck.updateUninitializedVariables(Deque<DetailAST> scopeUninitializedVariableData)",29,9,10,4,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.EmptyLineSeparatorCheck.checkCommentsInsideToken(DetailAST token)",28,9,14,4,1
"com.puppycrawl.tools.checkstyle.checks.coding.HiddenFieldCheck.processVariable(DetailAST ast)",21,9,11,4,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheck.getArrayDeclaratorPreviousElement(DetailAST ast)",59,9,14,3,1
"com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck.checkThrowsTags(List<JavadocTag> tags, List<ExceptionInfo> throwsList, boolean reportExpectedTags)",56,9,30,3,3
"com.puppycrawl.tools.checkstyle.checks.coding.variabledeclarationusagedistance.New.test()",54,9,18,3,0
"com.puppycrawl.tools.checkstyle.PackageObjectFactory.createModule(String name)",46,9,11,3,1
"com.google.checkstyle.test.chapter4formatting.rule4822variabledistance.InputVariableDeclarationUsageDistanceCheck.testMethod15()",43,9,5,3,0
"com.puppycrawl.tools.checkstyle.checks.coding.variabledeclarationusagedistance.InputVariableDeclarationUsageDistance.testMethod15()",43,9,5,3,0
"com.puppycrawl.tools.checkstyle.checks.modifier.RedundantModifierCheck.processMethods(DetailAST ast)",39,9,15,3,1
"com.puppycrawl.tools.checkstyle.checks.blocks.leftcurly.InputLeftCurlyLineBreakAfter.foo()",39,9,0,3,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.GenericWhitespaceCheck.processStart(DetailAST ast)",37,9,19,3,1
"com.puppycrawl.tools.checkstyle.checks.blocks.rightcurly.InputRightCurlyLineBreakBefore.foo()",35,9,0,3,0
