"namespace","noc","nac"
"org.checkstyle.suppressionxpathfilter.requirethis",2,0
"org.checkstyle.suppressionxpathfilter.whitespaceafter",2,0
"org.checkstyle.suppressionxpathfilter.whitespacearound",2,0
"com.puppycrawl.tools.checkstyle.grammar.javadoc",2,0
"com.puppycrawl.tools.checkstyle.checker",2,0
"com.puppycrawl.tools.checkstyle.checks.annotation.annotationlocation.inputs",2,0
"com.puppycrawl.tools.checkstyle.checks.avoidescapedunicodecharacters",2,0
"com.puppycrawl.tools.checkstyle.checks.blocks.emptycatchblock",2,0
"com.puppycrawl.tools.checkstyle.checks.coding.illegalcatch",2,0
"com.puppycrawl.tools.checkstyle.checks.coding.illegalthrows",2,0
"com.puppycrawl.tools.checkstyle.checks.coding.innerassignment",2,1
"com.puppycrawl.tools.checkstyle.checks.coding.multiplestringliterals",2,0
"com.puppycrawl.tools.checkstyle.checks.coding.parameterassignment",2,1
"com.puppycrawl.tools.checkstyle.checks.coding.unnecessarysemicolonintrywithresources",2,0
"com.puppycrawl.tools.checkstyle.checks.design.finalclass",2,1
"com.puppycrawl.tools.checkstyle.checks.design.throwscount",2,0
"com.puppycrawl.tools.checkstyle.checks.imports.avoidstaticimport",2,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.invalidjavadocposition",2,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocpackage.bothfiles",2,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocparagraph",2,0
"com.puppycrawl.tools.checkstyle.checks.metrics.cyclomaticcomplexity",2,0
"com.puppycrawl.tools.checkstyle.checks.naming.abstractclassname",2,1
"com.puppycrawl.tools.checkstyle.checks.naming.catchparametername",2,0
"com.puppycrawl.tools.checkstyle.checks.naming.staticvariablename",2,1
"com.puppycrawl.tools.checkstyle.checks.regexp.regexponfilename",2,0
"com.puppycrawl.tools.checkstyle.checks.regexp.regexpsinglelinejava",2,0
"com.puppycrawl.tools.checkstyle.checks.sizes.outertypenumber",2,0
"com.puppycrawl.tools.checkstyle.checks.sizes.parameternumber",2,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.emptyforinitializerpad",2,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.methodparampad",2,0
"com.puppycrawl.tools.checkstyle.checks.whitespace.nolinewrap",2,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.operatorwrap",2,1
"com.puppycrawl.tools.checkstyle.checks.whitespace.typecastparenpad",2,1
"com.puppycrawl.tools.checkstyle.filters.suppressioncommentfilter",2,0
"com.puppycrawl.tools.checkstyle.filters.suppresswarningsfilter",2,1
"com.puppycrawl.tools.checkstyle.filters.suppresswithnearbycommentfilter",2,0
"com.puppycrawl.tools.checkstyle.internal.allchecks",2,0
"com.puppycrawl.tools.checkstyle.xpath.xpathquerygenerator",2,0
"com.sun.checkstyle.test.base",1,1
"org.checkstyle.checks.imports",1,0
"com.google.checkstyle.test.chapter3filestructure.toolongpackagetotestcoveragegooglesjavastylerule",1,0
"com.google.checkstyle.test.chapter5naming.rule521$packagenames",1,0
"com.google.checkstyle.test.chapter5naming.rule521packageNamesCamelCase",1,0
"com.google.checkstyle.test.chapter5naming.rule521_packagenames",1,0
"org.checkstyle.suppressionxpathfilter.nestedfordepth",1,0
"org.checkstyle.suppressionxpathfilter.nestedifdepth",1,0
"org.checkstyle.suppressionxpathfilter.nestedtrydepth",1,0
"org.checkstyle.suppressionxpathfilter.nowhitespaceafter",1,0
"org.checkstyle.suppressionxpathfilter.nowhitespacebefore",1,0
"org.checkstyle.suppressionxpathfilter.outertypenumber",1,0
"org.checkstyle.suppressionxpathfilter.singlespaceseparator",1,0
"org.checkstyle.suppressionxpathfilter.unnecessarysemicoloninenumeration",1,0
"org.checkstyle.suppressionxpathfilter.unnecessarysemicolonintrywithresources",1,0
"org.checkstyle.suppressionxpathfilter.upperell",1,0
"com.puppycrawl.tools.checkstyle.api.abstractcheck",1,0
"com.puppycrawl.tools.checkstyle.api.fileset",1,0
"com.puppycrawl.tools.checkstyle.api.fullident",1,0
"com.puppycrawl.tools.checkstyle.checks.arraytypestyle",1,0
"com.puppycrawl.tools.checkstyle.checks.blocks.avoidnestedblocks",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.arraytrailingcomma",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.avoidinlineconditionals",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.covariantequals",1,1
"com.puppycrawl.tools.checkstyle.checks.coding.emptystatement",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.explicitinitialization",1,1
"com.puppycrawl.tools.checkstyle.checks.coding.illegaltoken",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.illegaltokentext",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.missingctor",1,1
"com.puppycrawl.tools.checkstyle.checks.coding.missingswitchdefault",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.multiplevariabledeclarations",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.nestedfordepth",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.nestedifdepth",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.nestedtrydepth",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.noclone",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.overloadmethodsdeclarationorder",1,1
"com.puppycrawl.tools.checkstyle.checks.coding.packagedeclaration",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.simplifybooleanexpression",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.simplifybooleanreturn",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.stringliteralequality",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.superfinalize",1,0
"com.puppycrawl.tools.checkstyle.checks.coding.unnecessarysemicoloninenumeration",1,1
"com.puppycrawl.tools.checkstyle.checks.design.interfaceistype",1,1
"com.puppycrawl.tools.checkstyle.checks.design.visibilitymodifier.inputs",1,0
"com.puppycrawl.tools.checkstyle.checks.imports.avoidstarimport",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.abstracttypeaware",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocpackage.annotation",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocpackage.noparentfile",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocpackage.pkghtml",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocstyle.bothfiles",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocstyle.pkginfo.annotation",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocstyle.pkginfo.invalidformat",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocstyle.pkginfo.invalidinherit",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.javadocstyle.pkginfo.valid",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.annotation",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.blank",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.nojavadoc.annotation",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.nojavadoc.blank",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.nojavadoc.blockcomment",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.nojavadoc",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.nojavadoc.single",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.nojavadoc.singleline",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.missingjavadocpackage.singleline",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.nonemptyatclausedescription",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.singlelinejavadoc",1,0
"com.puppycrawl.tools.checkstyle.checks.javadoc.summaryjavadoc.inputs",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classdataabstractioncoupling.inputs.a.aa",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classdataabstractioncoupling.inputs.a.ab",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classdataabstractioncoupling.inputs.b",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classdataabstractioncoupling.inputs.c",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity.inputs.a.aa",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity.inputs.a.ab",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity.inputs.b",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.classfanoutcomplexity.inputs.c",1,0
"com.puppycrawl.tools.checkstyle.checks.metrics.javancss",1,0
"com.puppycrawl.tools.checkstyle.checks.naming.classtypeparametername",1,1
"com.puppycrawl.tools.checkstyle.checks.naming.interfacetypeparametername",1,1
"com.puppycrawl.tools.checkstyle.checks.naming.lambdaparametername",1,0
"com.puppycrawl.tools.checkstyle.checks.naming.methodtypeparametername",1,1
"com.puppycrawl.tools.checkstyle.checks.naming.packagename",1,0
"com.puppycrawl.tools.checkstyle.checks.naming.typename",1,1
"com.puppycrawl.tools.checkstyle.checks.regexp.regexpmultiline",1,0
