"type","dep","i-dep","fan-in","fan-out"
"me.umov.refill.model.customfield.CustomFieldTest",6,1,0,1
"me.umov.refill.builder.widget.AgentTaskAgendaDataBuilder",12,1,0,2
"me.umov.refill.dao.GraphicDaoTest",11,3,0,5
"me.umov.refill.builder.widget.TotalDistancePerDayDataBuilder",8,1,0,2
"me.umov.refill.builder.widget.TasksReturnedDataBuilder",9,2,0,3
"me.umov.refill.builder.widget.AgentExecutedActivitiesPercentualTableDataBuilder",6,1,0,2
"me.umov.refill.builder.widget.AgentAndLocalWithPercentualTasksTableDataBuilder",6,1,0,2
"me.umov.refill.persistence.MarkerResultTransformer",5,1,3,2
"me.umov.refill.validator.GeoCoordinateValidator",1,0,1,4
"me.umov.refill.core.GraphicRemovalManager",6,1,2,5
"me.umov.refill.types.handler.DateEndOfDayTypeHandler",5,1,0,3
"me.umov.refill.persistence.RouteTransportModeTransformer",5,0,2,1
"me.umov.refill.builder.widget.ActivityNotExecutedDataBuilder",6,1,0,2
"me.umov.refill.validator.RouteValidatorTest",7,4,0,4
"me.umov.refill.persistence.GraphicDataRowResultTransformer",2,1,2,3
"me.umov.refill.types.handler.DateTypeHandler",5,1,0,3
"me.umov.refill.types.handler.DateAsDatetimeRangeTypeHandler",6,1,0,2
"me.umov.refill.builder.widget.MapRouteExpectedXExecutedDataBuilder",13,0,0,1
"me.umov.refill.fixture.TestModelFixture",3,1,2,2
"me.umov.refill.model.GraphicDataRow",3,0,18,2
"me.umov.refill.builder.widget.AgentWithPercentualTasksTableDataBuilder",6,1,0,2
"me.umov.refill.builder.widget.CustomHistoryTableDataBuilder",7,1,0,2
"me.umov.refill.template.TemplateEngineTest",6,0,0,0
"me.umov.refill.types.handler.CharArrayTypeHandler",4,1,1,2
"me.umov.refill.types.handler.TimeRangeTypeHandler",5,1,0,3
"me.umov.refill.builder.widget.AbstractGaugeDataBuilderTest",7,2,0,2
"me.umov.refill.service.ScheduleDBViewEnvironmentServiceTest",9,1,0,1
"me.umov.refill.types.handler.LongTypeHandler",1,1,0,3
"me.umov.refill.fixture.EntityFixture",3,2,7,2
"me.umov.refill.template.TemplateEngine",6,0,4,3
"me.umov.refill.builder.widget.TotalActivityExecutionsDataBuilder",5,0,0,1
"me.umov.refill.builder.widget.TasksCancelledDataBuilder",5,0,0,1
"me.umov.refill.builder.widget.TasksInFieldDataBuilder",5,0,0,1
"me.umov.refill.builder.widget.TasksPendingDataBuilder",5,0,0,1
"me.umov.refill.builder.widget.TasksInPreparationDataBuilder",5,0,0,1
