"type","sloc","nom","npm","wmc","dep","i-dep","fan-in","fan-out","noa"
"me.umov.refill.builder.widget.PeopleWithTasksDataBuilder",30,5,1,5,6,1,0,2,0
"me.umov.refill.builder.widget.LocalsWithoutExecuionsDataBuilder",30,5,1,5,7,2,0,3,0
"me.umov.refill.util.ListUtilsTest",30,4,4,4,7,0,0,0,0
"me.umov.refill.injection.InjectionModuleTest",30,4,4,4,10,0,0,0,1
"me.umov.refill.model.customfield.CustomFieldTest",30,4,4,4,6,1,0,1,1
"me.umov.refill.builder.widget.AgentTaskAgendaDataBuilder",30,4,1,4,12,1,0,2,0
"me.umov.refill.dao.GraphicDaoTest",30,2,2,2,11,3,0,5,1
"me.umov.refill.builder.widget.TotalDistancePerDayDataBuilder",29,4,1,4,8,1,0,2,0
"me.umov.refill.builder.widget.TasksReturnedDataBuilder",29,4,1,4,9,2,0,3,0
"me.umov.refill.builder.widget.AgentExecutedActivitiesPercentualTableDataBuilder",29,4,1,4,6,1,0,2,0
"me.umov.refill.builder.widget.AgentAndLocalWithPercentualTasksTableDataBuilder",29,4,1,4,6,1,0,2,0
"me.umov.refill.persistence.MarkerResultTransformer",29,3,3,3,5,1,3,2,2
"me.umov.refill.validator.GeoCoordinateValidator",29,3,2,5,1,0,1,4,1
"me.umov.refill.core.GraphicRemovalManager",29,3,2,4,6,1,2,5,2
"me.umov.refill.types.handler.DateEndOfDayTypeHandler",29,3,3,4,5,1,0,3,2
"me.umov.refill.persistence.RouteTransportModeTransformer",28,4,4,5,5,0,2,1,2
"me.umov.refill.builder.widget.ActivityNotExecutedDataBuilder",28,4,1,4,6,1,0,2,0
"me.umov.refill.validator.RouteValidatorTest",28,3,3,3,7,4,0,4,1
"me.umov.refill.persistence.GraphicDataRowResultTransformer",28,3,3,5,2,1,2,3,3
"me.umov.refill.types.handler.DateTypeHandler",28,3,3,4,5,1,0,3,2
"me.umov.refill.types.handler.DateAsDatetimeRangeTypeHandler",28,3,3,4,6,1,0,2,2
"me.umov.refill.builder.widget.MapRouteExpectedXExecutedDataBuilder",28,3,1,3,13,0,0,1,0
"me.umov.refill.fixture.TestModelFixture",27,6,6,6,3,1,2,2,1
"me.umov.refill.model.GraphicDataRow",27,6,6,6,3,0,18,2,3
"me.umov.refill.builder.widget.AgentWithPercentualTasksTableDataBuilder",27,4,1,4,6,1,0,2,0
"me.umov.refill.builder.widget.CustomHistoryTableDataBuilder",27,4,1,4,7,1,0,2,0
"me.umov.refill.template.TemplateEngineTest",27,3,3,3,6,0,0,0,1
"me.umov.refill.types.handler.CharArrayTypeHandler",27,3,3,5,4,1,1,2,0
"me.umov.refill.types.handler.TimeRangeTypeHandler",27,3,3,6,5,1,0,3,1
"me.umov.refill.builder.widget.AbstractGaugeDataBuilderTest",26,3,1,1,7,2,0,2,1
"me.umov.refill.service.ScheduleDBViewEnvironmentServiceTest",26,2,2,2,9,1,0,1,2
"me.umov.refill.types.handler.LongTypeHandler",25,5,5,6,1,1,0,3,1
"me.umov.refill.fixture.EntityFixture",25,4,4,6,3,2,7,2,1
"me.umov.refill.template.TemplateEngine",25,4,3,4,6,0,4,3,2
"me.umov.refill.builder.widget.TotalActivityExecutionsDataBuilder",25,4,1,4,5,0,0,1,0
"me.umov.refill.builder.widget.TasksCancelledDataBuilder",25,4,1,4,5,0,0,1,0
"me.umov.refill.builder.widget.TasksInFieldDataBuilder",25,4,1,4,5,0,0,1,0
"me.umov.refill.builder.widget.TasksPendingDataBuilder",25,4,1,4,5,0,0,1,0
"me.umov.refill.builder.widget.TasksInPreparationDataBuilder",25,4,1,4,5,0,0,1,0
"me.umov.refill.builder.widget.ImageCollectedDataBuilder",25,4,1,4,5,0,0,1,0
"me.umov.refill.builder.widget.ActivityExecutionGaugeDataBuilder",25,4,1,4,5,0,0,1,0
"me.umov.refill.model.Media",25,4,4,4,3,0,2,1,3
"me.umov.refill.types.handler.CharArrayTypeHandlerTest",25,3,3,3,5,2,0,2,1
"me.umov.refill.interceptor.TransactionInterceptor",25,1,1,2,5,1,1,2,1
"me.umov.refill.injection.InjectionModule",25,1,0,1,10,3,2,4,2
"me.umov.refill.types.handler.StringTypeHandler",24,4,4,6,1,1,0,2,1
"me.umov.refill.builder.widget.TimelineExecutionDataBuilder",24,2,1,2,13,0,0,1,0
"me.umov.refill.fixture.OnlineFilterFixture",23,5,5,5,2,1,7,2,1
"me.umov.refill.fixture.GraphicIconFixture",23,5,5,5,2,2,2,3,1
"me.umov.refill.service.AttemptService",23,3,1,6,3,2,0,3,1
"me.umov.refill.model.activity.ActivityFieldSoyDTO",23,3,3,6,2,0,3,1,2
"me.umov.refill.injection.SessionFactoryProvider",23,2,2,2,6,0,4,0,1
"me.umov.refill.util.DateTimeUtilsTest",23,1,1,1,3,0,0,0,0
"me.umov.refill.persistence.MarkerResultTransformerTest",23,1,1,1,5,1,0,1,1
"me.umov.refill.dao.RouteDataDaoTest",23,1,1,1,10,2,0,3,1
"me.umov.refill.service.ActivityFieldService",23,1,1,2,8,4,2,5,2
"me.umov.refill.persistence.OrderBySqlFormula",22,4,3,4,4,0,2,1,2
"me.umov.refill.types.handler.AnyArrayTypeHandler",22,3,3,4,3,1,1,2,0
"me.umov.refill.types.TableColumnTypeTest",22,2,2,2,2,0,0,0,0
"me.umov.refill.builder.widget.TeamsManagementDataBuilderTest",22,2,2,2,7,2,0,2,1
"me.umov.refill.builder.widget.AgentsManagementDataBuilderTest",22,2,2,2,7,2,0,2,1
"me.umov.refill.service.GraphicService",22,2,1,3,5,4,1,6,2
"me.umov.refill.injection.SessionFactoryManager",21,3,3,3,3,0,0,0,2
"me.umov.refill.builder.widget.MapTaskExecutionDataBuilder",21,2,1,2,11,0,1,1,0
"me.umov.refill.service.CustomFieldService",21,1,1,2,7,4,3,5,2
"me.umov.refill.types.handler.LongArrayTypeHandler",20,3,3,4,3,1,0,2,0
"me.umov.refill.builder.widget.customtable.TableColumnDataBuilder",20,1,1,1,6,2,3,2,2
"me.umov.refill.injection.InjectorCreatorTest",19,2,2,2,6,0,0,0,0
"me.umov.refill.types.handler.AnyArrayTypeHandlerTest",19,2,2,2,5,2,0,2,1
"me.umov.refill.builder.widget.AllTasksDataBuilderTest",19,2,2,2,7,2,0,2,1
"me.umov.refill.dao.TypeResolverTest",19,2,2,2,5,1,0,1,2
"me.umov.refill.util.FormatUtils",19,1,1,3,2,0,0,1,0
"me.umov.refill.util.DateTimeUtils",19,1,1,3,4,0,0,1,0
"me.umov.refill.builder.DataBuilderFactory",19,1,1,4,4,2,2,2,1
"me.umov.refill.serialization.NotEmptyListAdapter",19,1,1,4,6,0,1,2,0
"me.umov.refill.fixture.CardDataFixture",18,4,4,4,1,1,1,1,1
"me.umov.refill.fixture.TableColumnDataFixture",18,4,3,4,1,1,3,1,1
"me.umov.refill.service.RouteDataService",18,1,1,1,6,3,2,3,2
"me.umov.refill.builder.widget.HorizontalTimelineExecutionDataBuilder",17,2,1,2,5,0,0,1,0
"me.umov.refill.util.ListUtils",16,4,4,6,1,0,0,3,0
"me.umov.refill.service.AbstractService",16,4,3,4,3,2,3,3,0
"me.umov.refill.fixture.MediaFixture",16,3,3,3,2,1,1,1,1
"me.umov.refill.reflection.ReflectionUtils",16,3,3,3,2,0,0,3,0
"me.umov.refill.model.customfield.CustomFieldSoyDTO",16,3,3,3,1,0,3,0,2
"me.umov.refill.injection.SessionFactoryProviderTest",15,2,2,2,4,0,0,0,0
"me.umov.refill.validator.MarkerValidator",15,2,2,3,1,1,2,3,1
"me.umov.refill.builder.widget.AbstractGaugeDataBuilder",15,2,1,2,4,1,1,2,0
"me.umov.refill.dao.GraphicDao",15,2,1,2,2,1,2,2,0
"me.umov.refill.types.WidgetFontSizeTest",14,1,1,1,5,0,0,0,0
"me.umov.refill.util.MediaIconHelper",14,1,1,2,2,1,0,1,0
"me.umov.refill.dao.AbstractOperationDao",14,1,1,1,4,1,3,2,1
"me.umov.refill.dao.AbstractChartDao",14,1,1,1,4,1,4,2,1
"me.umov.refill.dao.TypeResolver",13,2,2,2,2,0,1,0,1
"me.umov.refill.persistence.CustomPostgreSQLDialectTest",13,1,1,1,4,0,0,0,0
"me.umov.refill.service.TestService",13,1,0,1,4,3,0,4,1
"me.umov.refill.persistence.CustomPostgreSQLDialect",13,1,1,1,4,0,1,1,0
"me.umov.refill.util.TestUtils",12,2,2,3,1,0,0,1,0
"me.umov.refill.validator.RouteValidator",12,2,2,2,1,1,2,2,1
"me.umov.refill.model.column.FieldTypesTest",12,1,1,1,4,0,0,0,0
"me.umov.refill.dao.TestDao",12,1,1,1,3,1,2,2,1
"me.umov.refill.builder.widget.CustomEntitiesRowActionFactory",12,1,1,3,3,1,0,1,0
"me.umov.refill.dao.ActivityFieldDao",12,1,1,1,5,1,2,2,0
"me.umov.refill.fixture.OnlineFilterOptionFixture",11,2,2,2,1,1,4,1,1
"me.umov.refill.injection.InjectorCreator",11,1,1,2,2,0,1,0,1
"me.umov.refill.injection.DirectionsProvider",11,1,1,1,4,1,0,2,0
"me.umov.refill.service.ScheduleDBViewEnvironmentService",10,1,1,1,2,1,1,1,1
"me.umov.refill.dao.RouteDataDao",10,1,1,1,4,2,2,3,0
"me.umov.refill.geo.GeoProcessor",9,2,2,2,4,2,4,2,0
"me.umov.refill.persistence.BooleanCharacterType",9,1,1,1,1,0,0,1,1
"me.umov.refill.dao.CustomFieldDao",9,1,1,1,3,1,2,2,0
"me.umov.refill.dao.ScheduleDBViewEnvironmentDao",9,1,1,1,3,1,2,2,0
"me.umov.refill.types.handler.FilterTypeHandler",7,3,3,3,1,1,9,1,0
"me.umov.refill.builder.widget.customtable.ColumnDataBuilder",7,1,1,1,3,2,2,2,0
"me.umov.refill.core.AbstractWorkerTestMock",7,0,0,1,2,1,1,1,1
"me.umov.refill.model.Model",6,2,2,2,1,0,19,0,0
"me.umov.refill.builder.GraphicDataBuilder",6,1,1,1,2,2,6,2,0
"me.umov.refill.validator.Validator",4,1,1,1,0,0,3,0,0
"me.umov.refill.util.TestException",4,0,0,1,0,0,4,1,1
