"method","loc","cyclo","calls","nbd","param"
"br.com.trevisantecnologia.centerweb.dao.impl.ServiceLocalItemHibernateDaoImpl.filterAvailableItems(final Long serviceLocalId, final Object item)",26,8,39,2,2
"br.com.trevisantecnologia.centerweb.dao.impl.SectionItemHibernateDaoImpl.filterAvailableItems(final Long sectionId, final Object item)",25,8,39,2,2
"br.com.trevisantecnologia.centerweb.interceptor.I18nInterceptor.hasFile(final Locale locale)",24,8,22,2,1
"br.com.trevisantecnologia.centerweb.util.Miscelaneous.getValidationDigits(String cnpj)",19,8,5,2,1
"br.com.trevisantecnologia.centerweb.model.Schedule.sendNotificationCasesOnEditSchedule(Schedule old)",15,8,8,2,1
"br.com.trevisantecnologia.common.web.displaytag.decorator.StringAsDate.decorate(final Object object, final PageContext pageContext, final MediaTypeEnum mediaTypeEnum)",13,8,9,2,3
"br.com.trevisantecnologia.centerweb.dao.impl.MixProductDao.itemAvailableCriteria(MixProduct mixProduct, Item filter)",38,8,49,1,2
"br.com.trevisantecnologia.centerweb.model.ServiceLocal.getFullAddress()",25,8,22,1,0
"br.com.trevisantecnologia.centerweb.service.ImporterService.importFile(UploadedFile file, ImportOperationType operationType)",25,8,17,1,2
"br.com.trevisantecnologia.centerweb.helper.ModelHelper.getNumericSize(Field field)",21,8,8,1,1
"br.com.trevisantecnologia.centerweb.dao.structuralDaset.EntitySqlInformation.equals(Object obj)",18,8,6,1,1
"br.com.trevisantecnologia.centerweb.reflection.ReflectionHandler.isFieldOnECA(Field field, Object value)",16,8,12,1,2
"br.com.trevisantecnologia.centerweb.reflection.ReflectionHandler.canRenderFieldOnAPI(Field field, Object value)",13,8,11,1,2
"br.com.trevisantecnologia.centerweb.model.WeekdaysActivity.listSelectedDays()",17,8,7,0,0
"br.com.trevisantecnologia.centerweb.model.WeekdaysItinerary.listSelectedDays()",17,8,7,0,0
"br.com.trevisantecnologia.centerweb.model.WeekdaysServiceLocalActivity.listSelectedDays()",17,8,7,0,0
"br.com.trevisantecnologia.centerweb.model.WeekdaysActivity.hashCode()",12,8,0,0,0
"br.com.trevisantecnologia.centerweb.model.WeekdaysItinerary.hashCode()",12,8,0,0,0
