"method","loc","cyclo","calls","nbd","param"
"jdepend.framework.FileManager.isJar(File file)",2,1,1,3,1
"jdepend.framework.FileManager.isWar(File file)",2,1,1,3,1
"jdepend.framework.FileManager.isZip(File file)",2,1,1,3,1
"jdepend.swingui.PackageNode.format(float f)",2,1,1,3,1
"jdepend.framework.ClassFileParser.parseMajorVersion()",2,1,1,3,0
"jdepend.framework.ClassFileParser.parseMinorVersion()",2,1,1,3,0
"jdepend.framework.ClassFileParser$Constant.Constant(byte tag, int nameIndex)",2,1,0,3,2
"jdepend.framework.ClassFileParser.u2(byte[] data, int index)",2,1,0,3,2
"jdepend.framework.ClassFileParser$AttributeInfo.setName(String name)",2,1,0,3,1
"jdepend.framework.ClassFileParser$AttributeInfo.setValue(byte[] value)",2,1,0,3,1
"jdepend.framework.JavaClassBuilder.JavaClassBuilder(FileManager fm)",2,1,0,3,1
"jdepend.framework.ClassFileParser$AttributeInfo.getName()",2,1,0,3,0
"jdepend.framework.ClassFileParser$AttributeInfo.getValue()",2,1,0,3,0
"jdepend.framework.ClassFileParser$Constant.getNameIndex()",2,1,0,3,0
"jdepend.framework.ClassFileParser$Constant.getTag()",2,1,0,3,0
"jdepend.framework.ClassFileParser$Constant.getTypeIndex()",2,1,0,3,0
"jdepend.framework.ClassFileParser$Constant.getValue()",2,1,0,3,0
"jdepend.framework.ClassFileParser$FieldOrMethodInfo.accessFlags()",2,1,0,3,0
"jdepend.framework.ClassFileParser$FieldOrMethodInfo.getDescriptorIndex()",2,1,0,3,0
"jdepend.framework.ClassFileParser$FieldOrMethodInfo.getNameIndex()",2,1,0,3,0
"jdepend.framework.ClassFileParser.ClassFileParser()",2,1,0,3,0
"jdepend.framework.JDepend.JDepend()",2,1,0,3,0
"jdepend.framework.JavaClassBuilder.JavaClassBuilder()",2,1,0,3,0
"jdepend.framework.CycleTest.test5Node2BranchCycle()",40,1,31,2,0
"jdepend.framework.CycleTest.test3Node2BranchCycle()",26,1,19,2,0
"jdepend.framework.CycleTest.test3Node1BranchCycle()",24,1,18,2,0
"jdepend.framework.CycleTest.test3Node1BranchSubCycle()",24,1,18,2,0
"jdepend.framework.CycleTest.test2Node1BranchCycle()",17,1,12,2,0
"jdepend.framework.CycleTest.testNoCycles()",16,1,11,2,0
"jdepend.framework.PackageFilter.PackageFilter(File f)",10,1,2,2,1
"jdepend.framework.JavaPackage.dependsUpon(JavaPackage imported)",9,1,2,2,1
"jdepend.framework.PackageFilter.PackageFilter()",9,1,2,2,0
"jdepend.framework.PackageFilter.PackageFilter(Collection packageNames)",9,1,1,2,1
"jdepend.framework.PackageFilter.getFilters()",7,1,0,2,0
"jdepend.framework.JavaPackage.distance()",6,1,3,2,0
"jdepend.framework.JavaPackage.JavaPackage(String name, int volatility)",6,1,1,2,2
"jdepend.framework.JavaPackage.afferentCoupling()",5,1,1,2,0
"jdepend.framework.JavaPackage.efferentCoupling()",5,1,1,2,0
"jdepend.framework.JavaPackage.setVolatility(int v)",5,1,0,2,1
"jdepend.framework.JavaPackage.getVolatility()",5,1,0,2,0
"jdepend.framework.JavaPackage.hashCode()",2,1,2,2,0
"jdepend.framework.JavaPackage.addClass(JavaClass clazz)",2,1,1,2,1
"jdepend.framework.JavaPackage.containsCycle()",2,1,1,2,0
"jdepend.framework.JavaPackage.getClassCount()",2,1,1,2,0
"jdepend.framework.CycleTest.CycleTest(String name)",2,1,0,2,1
"jdepend.framework.JavaPackage.JavaPackage(String name)",2,1,0,2,1
"jdepend.framework.JavaPackage.setAfferents(Collection afferents)",2,1,0,2,1
"jdepend.framework.JavaPackage.setEfferents(Collection efferents)",2,1,0,2,1
"jdepend.framework.JavaPackage.getAfferents()",2,1,0,2,0
"jdepend.framework.JavaPackage.getClasses()",2,1,0,2,0
"jdepend.framework.JavaPackage.getEfferents()",2,1,0,2,0
"jdepend.framework.JavaPackage.getName()",2,1,0,2,0
"jdepend.framework.JavaPackage.toString()",2,1,0,2,0
"jdepend.framework.CollectAllCyclesTest.test5Node2BranchCycle()",40,1,31,1,0
"jdepend.framework.ExampleTest.testDependencyConstraint()",39,1,25,1,0
"jdepend.framework.ClassFileParserTest.testConcreteClass()",37,1,50,1,0
"jdepend.framework.CollectAllCyclesTest.test3Node2BranchCycle()",26,1,19,1,0
"jdepend.framework.CollectAllCyclesTest.test3Node1BranchCycle()",25,1,18,1,0
"jdepend.framework.CollectAllCyclesTest.test3Node1BranchSubCycle()",24,1,18,1,0
"jdepend.framework.ClassFileParserTest.testAbstractClass()",23,1,26,1,0
"jdepend.framework.ClassFileParserTest.testInterfaceClass()",22,1,24,1,0
"jdepend.framework.ClassFileParserTest.testInnerClass()",19,1,14,1,0
"jdepend.framework.ClassFileParserTest.testPackageClass()",18,1,14,1,0
"jdepend.framework.CollectAllCyclesTest.test2Node1BranchCycle()",17,1,12,1,0
"epayment.processor.PaymentProcessor.PaymentProcessor()",17,1,3,1,0
"jdepend.framework.CollectAllCyclesTest.testNoCycles()",16,1,11,1,0
"jdepend.swingui.DependTree.DependTree(DependTreeModel model)",16,1,8,1,1
"jdepend.framework.ExampleTest.testOnePackageDistance()",15,1,5,1,0
"jdepend.swingui.DependTree.createTree()",15,1,5,1,0
"jdepend.framework.ClassFileParserTest.testInvalidClassFile()",13,1,5,1,0
"jdepend.framework.JarFileParserTest.testInvalidJarFile()",13,1,4,1,0
"jdepend.framework.JarFileParserTest.testInvalidZipFile()",13,1,4,1,0
"epayment.processor.PaymentProcessor.process(IPaymentCommand command)",13,1,1,1,1
"jdepend.framework.ExampleTest.testOnePackageHasNoCycles()",12,1,5,1,0
"jdepend.framework.FileManagerTest.testInvalidDirectory()",12,1,5,1,0
"jdepend.framework.JarFileParserTest.testJarFileWithoutInnerClasses()",11,1,5,1,0
"jdepend.framework.JarFileParserTest.testZipFileWithoutInnerClasses()",11,1,5,1,0
"jdepend.framework.JarFileParserTest.testCountClasses()",10,1,8,1,0
"jdepend.swingui.DependTree.setModel(DependTreeModel model)",10,1,6,1,1
"jdepend.framework.FileManagerTest.testNonExistentDirectory()",10,1,4,1,0
"jdepend.swingui.AfferentNode.makeNode(PackageNode parent, JavaPackage jPackage)",10,1,0,1,2
"jdepend.swingui.EfferentNode.makeNode(PackageNode parent, JavaPackage jPackage)",10,1,0,1,2
"jdepend.framework.ExampleConcreteClass.f()",10,1,0,1,0
"jdepend.framework.JarFileParserTest.testJarFile()",9,1,5,1,0
"jdepend.framework.JarFileParserTest.testZipFile()",9,1,5,1,0
"jdepend.framework.ExampleTest.testAllPackagesHaveNoCycles()",9,1,3,1,0
"jdepend.swingui.AfferentNode.AfferentNode(PackageNode parent, JavaPackage jPackage)",9,1,0,1,2
"jdepend.swingui.EfferentNode.EfferentNode(PackageNode parent, JavaPackage jPackage)",9,1,0,1,2
"jdepend.swingui.AfferentNode.getCoupledPackages()",8,1,2,1,0
"jdepend.swingui.EfferentNode.getCoupledPackages()",8,1,2,1,0
"epayment.processor.PaymentProcessor.PaymentProcessor(IGatewayAdapter adapter)",8,1,1,1,1
"jdepend.swingui.DependTree.createScrollPane()",8,1,1,1,0
"jdepend.framework.JarFileParserTest.assertClassesExist(Collection classes)",7,1,6,1,1
"jdepend.swingui.DependTree.addTreeSelectionListener(TreeSelectionListener l)",7,1,2,1,1
"jdepend.swingui.DependTree.getModel()",7,1,2,1,0
"epayment.processor.PaymentProcessor.setGatewayAdapter(IGatewayAdapter adapter)",7,1,0,1,1
"jdepend.framework.JavaClass.JavaClass(String name)",6,1,0,1,1
"jdepend.framework.FileManagerTest.testJar()",5,1,5,1,0
"jdepend.framework.FileManagerTest.testWar()",5,1,5,1,0
"jdepend.framework.FileManagerTest.testZip()",5,1,5,1,0
"jdepend.framework.FileManagerTest.testClassFile()",5,1,4,1,0
"jdepend.framework.JavaClass$ClassComparator.compare(Object a, Object b)",5,1,3,1,2
"jdepend.framework.JarFileParserTest.setUp()",5,1,3,1,0
"jdepend.framework.ExampleConcreteClass.a()",5,1,0,1,0
"jdepend.swingui.DependTree.DependTree()",5,1,0,1,0
"jdepend.framework.FileManagerTest.setUp()",4,1,2,1,0
"jdepend.framework.ClassFileParserTest.setUp()",4,1,1,1,0
"jdepend.framework.AbstractParser.parse(InputStream is)",4,1,0,1,1
"jdepend.framework.FileManagerTest.testBuildDirectory()",3,1,5,1,0
"jdepend.framework.FileManagerTest.testInvalidClassFile()",3,1,3,1,0
"jdepend.framework.FileManagerTest.testNonExistentClassFile()",3,1,3,1,0
"jdepend.framework.JarFileParserTest.assertInnerClassesExist(Collection classes)",3,1,2,1,1
"jdepend.framework.ClassFileParserTest.testExampleClassFileFromTimDrury()",3,1,2,1,0
"jdepend.framework.AbstractParser.AbstractParser(PackageFilter filter)",3,1,1,1,1
"jdepend.framework.ExampleConcreteClass.c(BigDecimal bd, byte[] bytes)",3,1,0,1,2
"jdepend.framework.ExampleConcreteClass.d()",3,1,0,1,0
"jdepend.framework.ExampleConcreteClass.e()",3,1,0,1,0
"jdepend.framework.FileManagerTest.testEmptyFileManager()",2,1,3,1,0
"jdepend.framework.ClassFileParserTest.testExampleClassFile2()",2,1,2,1,0
"jdepend.framework.JavaClass.hashCode()",2,1,2,1,0
"jdepend.framework.AbstractParser.addParseListener(ParserListener listener)",2,1,1,1,1
"jdepend.framework.ExampleTest.main(String[] args)",2,1,1,1,1
"jdepend.framework.ClassFileParserTest.tearDown()",2,1,1,1,0
"jdepend.framework.FileManagerTest.tearDown()",2,1,1,1,0
"jdepend.framework.JDependTestCase.tearDown()",2,1,1,1,0
"jdepend.framework.JarFileParserTest.tearDown()",2,1,1,1,0
"jdepend.framework.JavaClass.getImportedPackages()",2,1,1,1,0
"jdepend.framework.ExampleConcreteClass.b(String[] s, java.text.NumberFormat nf)",2,1,0,1,2
"jdepend.framework.AbstractParser.setFilter(PackageFilter filter)",2,1,0,1,1
"jdepend.framework.ClassFileParserTest.ClassFileParserTest(String name)",2,1,0,1,1
"jdepend.framework.CollectAllCyclesTest.CollectAllCyclesTest(String name)",2,1,0,1,1
"jdepend.framework.ExampleTest.ExampleTest(String name)",2,1,0,1,1
"jdepend.framework.FileManagerTest.FileManagerTest(String name)",2,1,0,1,1
"jdepend.framework.JDependTestCase.JDependTestCase(String name)",2,1,0,1,1
"jdepend.framework.JarFileParserTest.JarFileParserTest(String name)",2,1,0,1,1
"jdepend.framework.JavaClass.isAbstract(boolean isAbstract)",2,1,0,1,1
"jdepend.framework.JavaClass.setName(String name)",2,1,0,1,1
"jdepend.framework.JavaClass.setPackageName(String name)",2,1,0,1,1
